"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0000.1+6545",,"0.0377","65.7517",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0000.2-3738",,"0.0612","-37.6484",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0001.0+6314",,"0.2535","63.244","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0001.2-0748","PMN J0001-0746","0.3209","-7.8159","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0001.4+2120","TXS 2358+209","0.3612","21.3379","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0001.6+3535",,"0.4043","35.5905",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0002.0-6722",,"0.524","-67.3703",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0002.2-4152","1RXS J000135.5-415519","0.5621","-41.8828","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0002.6+6218",,"0.6745","62.3006",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0003.2-5246","RBS 0006","0.8152","-52.7771","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0003.4+3100",,"0.8576","31.0085",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0003.5+5721",,"0.8903","57.3597",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0003.8-1151","PMN J0004-1148","0.9588","-11.8627","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0004.2+6757",,"1.0551","67.9593",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0004.2+0843",,"1.0574","8.7274",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0004.7-4740","PKS 0002-478","1.1807","-47.6711","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0006.2+0135",,"1.5718","1.5853",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0006.4+3825","S4 0003+38","1.6123","38.4183","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0006.6+4618",,"1.6512","46.3054",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0007.0+7302","LAT PSR J0007+7303","1.7656","73.0499","PSR","E","CTA 1","Pulsar","Link","Link","Link"
"3FGL J0007.4+1742",,"1.8693","17.711",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0007.9+4006",,"1.9829","40.1068",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0008.0+4713","MG4 J000800+4712","2.0166","47.2281","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0008.3+1456",,"2.0881","14.9336",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0008.5+6853",,"2.1409","68.887",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0008.6-2340","RBS 0016","2.1743","-23.6721","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0008.7+6558",,"2.1913","65.9677",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0009.1+0630","CRATES J000903.95+062821.5","2.2952","6.5052","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0009.3+5030","NVSS J000922+503028","2.3337","50.5104","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0009.6-3211","IC 1531","2.4016","-32.1987","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0010.5-1425",,"2.6289","-14.4195",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0012.4+7040","TXS 0008+704","3.11","70.6721","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0013.2-3954","PKS 0010-401","3.3038","-39.9083","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0013.9-1853","RBS 0030","3.4761","-18.8966","bll","P","SHBL J001355.9-185406","BL LAC","Link","Link","Link"
"3FGL J0014.0-5025","RBS 0032","3.515","-50.4285","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0014.3-0455",,"3.5858","-4.9196",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0014.6+6119","4C +60.01","3.6592","61.3182","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0014.7+5802","1RXS J001442.2+580201","3.6827","58.0424","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0015.7+5552","GB6 J0015+5551","3.9408","55.8747","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0016.3-0013","S3 0013-00","4.0779","-0.2296","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0016.5+1713",,"4.1354","17.221",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0017.1+1445",,"4.2937","14.7612",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0017.2-0643","PMN J0017-0650","4.3049","-6.7237","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0017.6-0512","PMN J0017-0512","4.4045","-5.205","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0018.4+2947","RBS 0042","4.603","29.794","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0018.9-8152","PMN J0019-8152","4.7454","-81.8769","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0019.1-5645","PMN J0019-5641","4.7967","-56.7515","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0019.4+2021","PKS 0017+200","4.862","20.3664","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0020.9+0323",,"5.2311","3.3953",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0021.6-6835","PKS 0021-686","5.409","-68.5917","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0021.6-2553","CRATES J002132.55-255049.3","5.4146","-25.8867","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0022.1-1855","1RXS J002209.2-185333","5.5355","-18.923","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0022.1-5141","1RXS J002159.2-514028","5.5479","-51.691","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0022.5+0608","PKS 0019+058","5.643","6.1378","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0022.7+4651",,"5.6872","46.8528",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0023.4+0923","PSR J0023+0923","5.8646","9.3892","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0023.5+4454","B3 0020+446","5.8781","44.9055","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0023.9-7203","47 Tuc","5.9819","-72.0652","glc","N",,"Globular cluster","Link","Link","Link"
"3FGL J0024.4+0350","GB6 J0024+0349","6.1105","3.8429","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0025.7+6404","Tycho","6.4326","64.0693","snr","P","Tycho","Supernova remnant","Link","Link","Link"
"3FGL J0026.2-4812",,"6.5572","-48.2101",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0026.7-4603","1RXS J002636.3-460101","6.6849","-46.0597","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0028.6+7507","GB6 J0028+7506","7.1611","75.1186","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0028.8+1951","TXS 0025+197","7.2009","19.8508","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0029.1-7045","PKS 0026-710","7.2961","-70.7555","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0030.2-1646","1RXS J003019.6-164723","7.5656","-16.7749","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0030.3-4223","PKS 0027-426","7.5895","-42.3954","fsrq","N",,"FSRQ","Link","Link","Link"
