"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association"
"3FGL J0000.1+6545","","0.0377","65.7517","","N",""
"3FGL J0000.2-3738","","0.0612","-37.6484","","N",""
"3FGL J0001.0+6314","","0.2535","63.244","spp","N",""
"3FGL J0001.2-0748","PMN J0001-0746","0.3209","-7.8159","bll","N",""
"3FGL J0001.4+2120","TXS 2358+209","0.3612","21.3379","fsrq","N",""
"3FGL J0001.6+3535","","0.4043","35.5905","","N",""
"3FGL J0002.0-6722","","0.524","-67.3703","","N",""
"3FGL J0002.2-4152","1RXS J000135.5-415519","0.5621","-41.8828","bcu","N",""
"3FGL J0002.6+6218","","0.6745","62.3006","","N",""
"3FGL J0003.2-5246","RBS 0006","0.8152","-52.7771","bcu","N",""
"3FGL J0003.4+3100","","0.8576","31.0085","","N",""
"3FGL J0003.5+5721","","0.8903","57.3597","","N",""
"3FGL J0003.8-1151","PMN J0004-1148","0.9588","-11.8627","bcu","N",""
"3FGL J0004.2+6757","","1.0551","67.9593","","N",""
"3FGL J0004.2+0843","","1.0574","8.7274","","N",""
"3FGL J0004.7-4740","PKS 0002-478","1.1807","-47.6711","fsrq","N",""
"3FGL J0006.2+0135","","1.5718","1.5853","","N",""
"3FGL J0006.4+3825","S4 0003+38","1.6123","38.4183","fsrq","N",""
"3FGL J0006.6+4618","","1.6512","46.3054","","N",""
"3FGL J0007.0+7302","LAT PSR J0007+7303","1.7656","73.0499","PSR","E","CTA 1"
"3FGL J0007.4+1742","","1.8693","17.711","","N",""
"3FGL J0007.9+4006","","1.9829","40.1068","","N",""
"3FGL J0008.0+4713","MG4 J000800+4712","2.0166","47.2281","bll","N",""
"3FGL J0008.3+1456","","2.0881","14.9336","","N",""
"3FGL J0008.5+6853","","2.1409","68.887","","N",""
"3FGL J0008.6-2340","RBS 0016","2.1743","-23.6721","bll","N",""
"3FGL J0008.7+6558","","2.1913","65.9677","","N",""
"3FGL J0009.1+0630","CRATES J000903.95+062821.5","2.2952","6.5052","bll","N",""
