R	An	  X (in)  	  Y (in)  	  Z (in)  	Horiz dist (in)	Az Center (deg)	Aper Az (deg)	Aper Elev (deg)	Ant size (in)


B	 1	  101.1537	   -0.0455	  -42.6770	  101.1537	  359.9742	  358.7537	  -10.2766	   37.3837
B	 2	   93.8458	   38.7000	  -43.3195	  101.5122	   22.4102	   21.9443	  -10.7136	   37.6763
B	 3	   71.5470	   71.6281	  -43.6402	  101.2401	   45.0325	   44.0559	  -10.6436	   37.8825
B	 4	   38.7667	   94.6741	  -43.4071	  102.3037	   67.7321	   66.0168	  -10.3057	   37.8919
B	 5	   -0.2891	  102.1799	  -42.7840	  102.1803	   90.1621	   91.1126	  -10.3639	   37.6492
B	 6	  -39.2832	   93.9636	  -43.0644	  101.8446	  112.6883	  113.7307	  -10.2533	   37.8811
B	 7	  -72.5822	   71.6824	  -43.3791	  102.0125	  135.3574	  135.7609	   -9.9158	   37.9777
B	 8	  -93.7849	   37.9514	  -43.3292	  101.1727	  157.9686	  159.2396	  -11.1279	   37.6496
B	 9	 -100.8723	   -0.9892	  -43.3977	  100.8772	  180.5619	  181.9345	  -11.3148	   37.6583
M	 9	 -101.5126	   -1.0658	   -0.3521	  101.5182	  180.6015	  181.7733	  -10.7661	   37.9481
B	10	  -92.7853	  -39.8988	  -43.3007	  101.0001	  203.2683	  203.0385	  -10.8011	   37.6371
M	10	  -93.3088	  -40.0021	   -0.3150	  101.5219	  203.2051	  203.7474	  -10.1543	   37.8713
B	11	  -70.9787	  -73.0814	  -42.7602	  101.8767	  225.8362	  224.4361	  -10.1834	   37.4776
M	11	  -71.0892	  -73.0460	    0.0145	  101.9284	  225.7778	  224.6953	  -10.3057	   37.6965
B	12	  -38.2031	  -94.8779	  -42.4731	  102.2805	  248.0676	  249.1608	   -9.8460	   37.5573
M	12	  -38.1346	  -94.8440	    0.2514	  102.2234	  248.0961	  249.0971	  -10.2358	   37.7707
B	13	    0.7842	 -102.2258	  -42.7391	  102.2288	  270.4395	  271.0590	  -10.0147	   37.6150
M	13	    0.9386	 -102.2046	    0.1447	  102.2089	  270.5262	  270.6460	  -10.0961	   37.8458
B	14	   39.4660	  -93.9733	  -42.8489	  101.9242	  292.7810	  292.9791	  -10.3057	   37.4424
M	14	   39.8379	  -93.9908	    0.0854	  102.0849	  292.9696	  292.4726	  -10.1019	   37.6156
B	15	   71.6319	  -71.5903	  -42.6963	  101.2734	  315.0166	  316.4392	  -10.7253	   37.3601
M	15	   72.0912	  -71.8559	    0.0789	  101.7861	  315.0937	  317.0448	  -10.5795	   37.4257
B	16	   93.5799	  -38.7325	  -42.9197	  101.2788	  337.5155	  337.3528	  -10.3465	   37.5216
M	16	   93.8311	  -38.8164	   -0.1019	  101.5430	  337.5259	  337.2064	  -10.0961	   37.7034
M	 1	  101.3390	    0.0000	    0.1130	  101.3390	    0.0000	  358.9045	  -10.4921	   37.5450
M	 2	   94.3364	   38.8092	   -0.2360	  102.0074	   22.3619	   21.9269	  -10.4630	   37.8830
M	 3	   71.9238	   71.6969	   -0.4024	  101.5553	   44.9095	   43.9997	  -10.1951	   38.0982
M	 4	   38.9699	   94.7119	   -0.0789	  102.4158	   67.6349	   66.5736	  -10.2067	   38.1676
M	 5	   -0.3253	  102.2236	    0.4611	  102.2241	   90.1823	   90.8800	  -10.5038	   37.9588
M	 6	  -39.3384	   93.8717	    0.3405	  101.7812	  112.7369	  113.0862	  -10.3057	   38.0503
M	 7	  -72.7450	   71.4507	    0.0884	  101.9659	  135.5143	  135.8931	  -10.1078	   38.2141
M	 8	  -94.3159	   37.8375	   -0.0915	  101.6227	  158.1404	  158.5808	  -10.6611	   37.8963
T	 1	   59.7941	    0.5330	  144.0238	   59.7965	    0.5107	  358.8189	   -9.9914	   37.4790
T	16	   48.4166	  -19.5071	  105.7754	   52.1986	  338.0554	  335.1992	  -10.4397	   37.7268
T	 2	   49.4029	   20.7607	  106.2444	   53.5878	   22.7937	   22.3722	  -10.2242	   37.6962
T	 3	   42.6219	   42.5618	  144.7563	   60.2340	   44.9596	   43.9343	  -10.0554	   37.9736
T	 4	   20.7606	   49.5845	  106.3064	   53.7552	   67.2814	   66.6288	   -9.9565	   37.7531
T	 5	    0.4751	   60.1549	  144.7040	   60.1568	   89.5475	   89.2032	   -9.8576	   37.7027
T	 6	  -19.4716	   49.4033	  106.3264	   53.1021	  111.5112	  113.4884	  -10.2358	   37.6037
T	 7	  -41.0276	   42.3383	  144.6777	   58.9559	  134.0993	  135.4484	   -9.9972	   37.7328
T	 8	  -48.0765	   20.6369	  106.6082	   52.3186	  156.7685	  158.4255	  -10.0961	   37.7104
T	 9	  -58.2851	    0.5282	  144.7207	   58.2875	  179.4808	  181.4484	   -9.8809	   37.7120
T	10	  -47.8136	  -19.9702	  106.3709	   51.8165	  202.6687	  202.6986	   -9.7471	   37.7350
T	11	  -40.5576	  -41.5719	  144.5735	   58.0788	  225.7076	  225.4192	   -9.6483	   37.7053
T	12	  -19.5314	  -48.9013	  106.5037	   52.6575	  248.2280	  247.7613	   -9.8460	   37.6833
T	13	    0.8416	  -59.2082	  144.4602	   59.2142	  270.8144	  270.7325	   -9.7471	   37.5966
T	14	   20.9329	  -48.9573	  106.2345	   53.2448	  293.1503	  292.9960	  -10.1951	   37.5168
T	15	   42.6195	  -41.7048	  144.0968	   59.6298	  315.6215	  314.9918	  -10.1543	   37.4038
