Quad-ridged horn antenna locations,,,,,,,,
An,  X (in)  ,  Y (in)  ,  Z (in)  ,Horiz dist (in),Az Center (deg),Aper Az (deg),Aper Elev (deg),Ant size (in)
1,59.8202,0.2454,144.3305,59.8207,0.235,359.6045,-9.9448,37.7277
2,49.3265,20.5445,106.3567,53.4339,22.6117,21.8858,-10.4338,37.7244
3,42.6551,42.472,144.2531,60.1941,44.8768,45.07,-10.3232,37.5842
4,20.8902,49.2769,106.1776,53.5221,67.0262,67.5825,-10.1252,37.7208
5,0.6225,60.0336,144.0684,60.0368,89.4059,90.4771,-10.0263,37.6756
6,-19.792,49.2564,106.1085,53.084,111.891,112.576,-9.9856,37.6936
7,-41.7338,42.7594,144.2691,59.7501,134.3046,134.8724,-10.0612,37.7374
8,-48.949,20.9346,106.3723,53.2378,156.8445,157.0784,-10.5329,37.833
9,-59.4771,0.657,144.3876,59.4807,179.3671,180.1453,-9.5495,37.7343
10,-49.1635,-19.7,106.5599,52.9636,201.8362,202.4433,-9.5205,37.7104
11,-42.1917,-41.5479,144.511,59.2146,224.5595,224.9548,-9.7704,37.6691
12,-20.6139,-48.6874,106.4645,52.8715,247.0525,247.3953,-9.7704,37.7025
13,-0.2472,-59.3063,144.3905,59.3068,269.7612,270.745,-10.1485,37.7652
14,20.1816,-48.8012,106.3381,52.8096,292.4674,292.5102,-10.0205,37.7604
15,42.119,-41.9631,144.3537,59.4551,315.1062,315.0247,-9.7529,37.7625
16,49.3857,-20.17,106.3383,53.3458,337.784,336.4483,-10.1718,37.8327
17,101.5877,0,-0.2751,101.5877,0,359.9127,-10.0903,37.7966
18,93.7079,38.9365,-0.4161,101.4752,22.5633,23.1848,-10.0903,37.7975
19,71.7284,71.8382,-0.3239,101.5169,45.0438,45.2223,-10.2184,37.75
20,38.8388,93.9051,-0.0191,101.62,67.5302,67.6417,-10.2766,37.6961
21,0.0006,101.943,0.2829,101.943,89.9997,90.3313,-9.689,37.7085
22,-38.881,94.1162,0.2831,101.8312,112.4464,113.252,-9.3695,37.7813
23,-72.3123,72.2822,0.3216,102.2438,135.0119,135.1973,-9.7529,37.794
24,-94.2114,39.3971,0.0321,102.1172,157.3064,157.4942,-9.9797,37.7764
25,-101.327,0.4722,-0.0675,101.3281,179.733,180.3315,-9.9158,37.7478
26,-93.1519,-38.2952,-0.4255,100.7164,202.3478,202.4843,-10.0263,37.8137
27,-71.9763,-72.166,-0.4044,101.9241,225.0754,225.5227,-10.1485,37.6775
28,-39.1067,-94.2314,-0.0972,102.024,247.4612,247.8109,-9.846,37.7396
29,-0.1689,-101.9633,0.3192,101.9634,269.9051,270.6861,-9.8111,37.8085
30,38.7934,-93.9218,0.3027,101.6181,292.4426,292.8492,-9.5611,37.8149
31,72.5158,-72.027,0.4045,102.2078,315.1938,316.5814,-9.4391,37.3993
32,93.9263,-38.9165,0.0829,101.6693,337.4943,338.3725,-9.875,37.559
33,101.442,-0.1694,-43.3992,101.4421,359.9043,1.2394,-10.0205,37.7709
34,93.3213,38.6744,-43.72,101.0177,22.5102,22.7756,-10.9236,37.664
35,71.3152,71.716,-43.5523,101.1387,45.1606,44.8517,-10.4921,37.6613
36,38.6626,94.0024,-43.1298,101.6427,67.6429,66.5239,-10.166,37.7534
37,-0.0811,102.0753,-42.9324,102.0753,90.0455,90.4763,-9.474,37.742
38,-38.9076,94.0841,-42.8714,101.8117,112.4671,112.1887,-9.4856,37.8458
39,-72.6117,72.6474,-42.7885,102.7137,134.9859,134.9631,-9.1256,37.6908
40,-94.4366,39.6897,-42.9232,102.438,157.204,158.2374,-9.3985,37.6746
41,-100.9467,0.6969,-43.2536,100.9491,179.6045,180.3323,-10.6028,37.8581
42,-92.699,-38.1163,-43.681,100.2295,202.3517,202.8283,-11.1221,37.8589
43,-71.4614,-71.9421,-43.5608,101.4022,225.1921,224.3073,-10.667,37.6924
44,-38.8688,-94.3337,-43.2371,102.0276,247.6066,247.2317,-9.5902,37.7266
45,-0.0482,-102.2303,-42.9159,102.2303,269.973,270.7613,-9.6134,37.8549
46,38.9696,-94.2292,-42.7821,101.9695,292.4681,292.4537,-9.3056,37.9028
47,72.5853,-72.3201,-42.743,102.4638,315.1049,315.6281,-9.2533,37.6928
48,94.3132,-39.2079,-42.9983,102.1383,337.4264,337.9481,-8.3199,37.6814
