Frequency [Hz]	Log Mag [dB]	Phase [degrees]	Group Delay [s]
3.00E+05	-4.78E+01	-4.54E+01	2.40E-09
7.80E+06	1.38E+01	5.90E+01	2.40E-09
1.53E+07	2.87E+01	-5.11E+01	4.07E-08
2.28E+07	3.52E+01	-1.27E+02	2.82E-08
3.03E+07	3.90E+01	1.70E+02	2.35E-08
3.78E+07	4.11E+01	1.11E+02	2.17E-08
4.53E+07	4.24E+01	5.84E+01	1.94E-08
5.28E+07	4.29E+01	9.36E+00	1.81E-08
6.03E+07	4.33E+01	-3.56E+01	1.69E-08
6.78E+07	4.34E+01	-7.94E+01	1.60E-08
7.53E+07	4.36E+01	-1.20E+02	1.53E-08
8.28E+07	4.36E+01	-1.61E+02	1.51E-08
9.03E+07	4.38E+01	1.60E+02	1.44E-08
9.78E+07	4.37E+01	1.20E+02	1.48E-08
1.05E+08	4.39E+01	8.26E+01	1.38E-08
1.13E+08	4.40E+01	4.11E+01	1.57E-08
1.20E+08	4.37E+01	4.07E+00	1.35E-08
1.28E+08	4.35E+01	-3.34E+01	1.39E-08
1.35E+08	4.34E+01	-6.98E+01	1.34E-08
1.43E+08	4.32E+01	-1.06E+02	1.38E-08
1.50E+08	4.33E+01	-1.43E+02	1.34E-08
1.58E+08	4.33E+01	-1.80E+02	1.36E-08
1.65E+08	4.33E+01	1.43E+02	1.37E-08
1.73E+08	4.31E+01	1.05E+02	1.41E-08
1.80E+08	4.29E+01	6.82E+01	1.36E-08
1.88E+08	4.28E+01	3.09E+01	1.39E-08
1.95E+08	4.23E+01	-1.20E+01	1.61E-08
2.03E+08	4.12E+01	-4.55E+01	1.24E-08
2.10E+08	4.10E+01	-7.94E+01	1.25E-08
2.18E+08	4.06E+01	-1.16E+02	1.36E-08
2.25E+08	4.02E+01	-1.53E+02	1.39E-08
2.33E+08	3.92E+01	1.69E+02	1.40E-08
2.40E+08	3.77E+01	1.32E+02	1.36E-08
2.48E+08	3.55E+01	9.81E+01	1.24E-08
2.55E+08	3.27E+01	7.65E+01	8.26E-09
2.63E+08	3.16E+01	7.22E+01	1.46E-09
2.70E+08	3.49E+01	6.19E+01	3.91E-09
2.78E+08	3.84E+01	2.93E+01	1.18E-08
2.85E+08	4.08E+01	-1.11E+01	1.52E-08
2.93E+08	4.20E+01	-5.46E+01	1.59E-08
3.00E+08	4.26E+01	-9.65E+01	1.58E-08
3.08E+08	4.28E+01	-1.39E+02	1.53E-08
3.15E+08	4.28E+01	-1.79E+02	1.50E-08
3.23E+08	4.25E+01	1.41E+02	1.50E-08
3.30E+08	4.21E+01	1.01E+02	1.46E-08
3.38E+08	4.15E+01	6.19E+01	1.48E-08
3.45E+08	4.08E+01	2.30E+01	1.43E-08
3.53E+08	3.97E+01	-1.66E+01	1.45E-08
3.60E+08	3.81E+01	-5.42E+01	1.39E-08
3.68E+08	3.57E+01	-8.82E+01	1.27E-08
3.75E+08	3.29E+01	-1.11E+02	8.11E-09
3.83E+08	3.14E+01	-1.15E+02	1.89E-09
3.90E+08	3.40E+01	-1.24E+02	3.20E-09
3.98E+08	3.72E+01	-1.53E+02	1.06E-08
4.05E+08	3.96E+01	1.70E+02	1.40E-08
4.13E+08	4.09E+01	1.29E+02	1.50E-08
4.20E+08	4.17E+01	8.98E+01	1.46E-08
4.28E+08	4.21E+01	5.05E+01	1.45E-08
4.35E+08	4.25E+01	1.31E+01	1.38E-08
4.43E+08	4.28E+01	-2.46E+01	1.41E-08
4.50E+08	4.30E+01	-6.19E+01	1.39E-08
4.58E+08	4.31E+01	-9.96E+01	1.38E-08
4.65E+08	4.32E+01	-1.36E+02	1.34E-08
4.73E+08	4.32E+01	-1.73E+02	1.39E-08
4.80E+08	4.32E+01	1.51E+02	1.30E-08
4.88E+08	4.31E+01	1.15E+02	1.34E-08
4.95E+08	4.31E+01	7.96E+01	1.30E-08
5.03E+08	4.31E+01	4.36E+01	1.36E-08
5.10E+08	4.31E+01	8.34E+00	1.31E-08
5.18E+08	4.30E+01	-2.72E+01	1.30E-08
5.25E+08	4.30E+01	-6.22E+01	1.32E-08
5.33E+08	4.31E+01	-9.84E+01	1.32E-08
5.40E+08	4.31E+01	-1.34E+02	1.36E-08
5.48E+08	4.29E+01	-1.70E+02	1.29E-08
5.55E+08	4.29E+01	1.54E+02	1.35E-08
5.63E+08	4.27E+01	1.19E+02	1.29E-08
5.70E+08	4.25E+01	8.33E+01	1.34E-08
5.78E+08	4.23E+01	4.84E+01	1.25E-08
5.85E+08	4.22E+01	1.50E+01	1.27E-08
5.93E+08	4.21E+01	-1.90E+01	1.25E-08
6.00E+08	4.21E+01	-5.36E+01	1.27E-08
6.08E+08	4.21E+01	-8.91E+01	1.30E-08
6.15E+08	4.21E+01	-1.23E+02	1.30E-08
