"frequency" "r S21_dB" "i S21_dB"
1E+06 40.7453 0
1.01476E+06 40.7472 0
1.02975E+06 40.7491 0
1.04495E+06 40.751 0
1.06038E+06 40.7529 0
1.07603E+06 40.7549 0
1.09192E+06 40.7569 0
1.10804E+06 40.759 0
1.1244E+06 40.761 0
1.141E+06 40.7631 0
1.15784E+06 40.7652 0
1.17494E+06 40.7674 0
1.19228E+06 40.7696 0
1.20988E+06 40.7718 0
1.22775E+06 40.774 0
1.24587E+06 40.7763 0
1.26427E+06 40.7786 0
1.28293E+06 40.781 0
1.30187E+06 40.7834 0
1.32109E+06 40.7858 0
1.3406E+06 40.7882 0
1.36039E+06 40.7907 0
1.38047E+06 40.7932 0
1.40085E+06 40.7958 0
1.42154E+06 40.7984 0
1.44252E+06 40.801 0
1.46382E+06 40.8037 0
1.48543E+06 40.8064 0
1.50736E+06 40.8092 0
1.52962E+06 40.8119 0
1.5522E+06 40.8148 0
1.57512E+06 40.8176 0
1.59837E+06 40.8206 0
1.62197E+06 40.8235 0
1.64591E+06 40.8265 0
1.67021E+06 40.8295 0
1.69487E+06 40.8326 0
1.71989E+06 40.8357 0
1.74529E+06 40.8389 0
1.77105E+06 40.8421 0
1.7972E+06 40.8454 0
1.82373E+06 40.8487 0
1.85066E+06 40.8521 0
1.87798E+06 40.8555 0
1.90571E+06 40.8589 0
1.93384E+06 40.8624 0
1.96239E+06 40.866 0
1.99137E+06 40.8696 0
2.02076E+06 40.8732 0
2.0506E+06 40.8769 0
2.08087E+06 40.8807 0
2.11159E+06 40.8845 0
2.14277E+06 40.8884 0
2.1744E+06 40.8923 0
2.20651E+06 40.8963 0
2.23908E+06 40.9003 0
2.27214E+06 40.9044 0
2.30569E+06 40.9086 0
2.33973E+06 40.9128 0
2.37427E+06 40.9171 0
2.40932E+06 40.9214 0
2.44489E+06 40.9258 0
2.48099E+06 40.9303 0
2.51762E+06 40.9348 0
2.55479E+06 40.9394 0
2.5925E+06 40.944 0
2.63078E+06 40.9487 0
2.66962E+06 40.9535 0
2.70903E+06 40.9584 0
2.74903E+06 40.9633 0
2.78961E+06 40.9683 0
2.8308E+06 40.9733 0
2.87259E+06 40.9785 0
2.915E+06 40.9837 0
2.95804E+06 40.9889 0
3.00171E+06 40.9943 0
3.04602E+06 40.9997 0
3.09099E+06 41.0052 0
3.13663E+06 41.0108 0
3.18294E+06 41.0165 0
3.22993E+06 41.0222 0
3.27761E+06 41.028 0
3.326E+06 41.0339 0
3.37511E+06 41.0399 0
3.42494E+06 41.046 0
3.4755E+06 41.0521 0
3.52681E+06 41.0584 0
3.57888E+06 41.0647 0
3.63172E+06 41.0711 0
3.68534E+06 41.0776 0
3.73975E+06 41.0842 0
3.79496E+06 41.0909 0
3.85099E+06 41.0977 0
3.90784E+06 41.1046 0
3.96553E+06 41.1115 0
4.02408E+06 41.1186 0
4.08349E+06 41.1258 0
4.14378E+06 41.133 0
4.20496E+06 41.1404 0
4.26704E+06 41.1479 0
4.33003E+06 41.1554 0
4.39396E+06 41.1631 0
4.45883E+06 41.1709 0
4.52466E+06 41.1788 0
4.59146E+06 41.1868 0
4.65925E+06 41.1949 0
4.72804E+06 41.2031 0
4.79784E+06 41.2115 0
4.86867E+06 41.2199 0
4.94055E+06 41.2285 0
5.01349E+06 41.2372 0
5.08751E+06 41.246 0
5.16262E+06 41.2549 0
5.23884E+06 41.2639 0
5.31618E+06 41.2731 0
5.39467E+06 41.2824 0
5.47432E+06 41.2918 0
5.55514E+06 41.3014 0
5.63715E+06 41.3111 0
5.72038E+06 41.3209 0
5.80483E+06 41.3308 0
5.89053E+06 41.3409 0
5.9775E+06 41.3511 0
6.06575E+06 41.3615 0
6.1553E+06 41.372 0
6.24617E+06 41.3826 0
6.33839E+06 41.3934 0
6.43197E+06 41.4043 0
6.52693E+06 41.4154 0
6.62329E+06 41.4266 0
6.72107E+06 41.438 0
6.8203E+06 41.4495 0
6.92099E+06 41.4612 0
7.02317E+06 41.4731 0
7.12686E+06 41.4851 0
7.23208E+06 41.4972 0
7.33885E+06 41.5095 0
7.4472E+06 41.522 0
7.55715E+06 41.5347 0
7.66872E+06 41.5475 0
7.78194E+06 41.5605 0
7.89683E+06 41.5737 0
8.01341E+06 41.587 0
8.13172E+06 41.6005 0
8.25177E+06 41.6142 0
8.3736E+06 41.6281 0
8.49723E+06 41.6421 0
8.62268E+06 41.6564 0
8.74998E+06 41.6708 0
8.87916E+06 41.6854 0
9.01025E+06 41.7003 0
9.14327E+06 41.7153 0
9.27826E+06 41.7305 0
9.41524E+06 41.7459 0
9.55425E+06 41.7615 0
9.6953E+06 41.7773 0
9.83844E+06 41.7933 0
9.98369E+06 41.8095 0
1.01311E+07 41.8259 0
1.02807E+07 41.8426 0
1.04324E+07 41.8594 0
1.05865E+07 41.8765 0
1.07428E+07 41.8938 0
1.09014E+07 41.9113 0
1.10623E+07 41.9291 0
1.12256E+07 41.9471 0
1.13914E+07 41.9653 0
1.15595E+07 41.9837 0
1.17302E+07 42.0024 0
1.19034E+07 42.0213 0
1.20791E+07 42.0405 0
1.22574E+07 42.0599 0
1.24384E+07 42.0795 0
1.2622E+07 42.0994 0
1.28084E+07 42.1196 0
1.29975E+07 42.14 0
1.31894E+07 42.1606 0
1.33841E+07 42.1816 0
1.35817E+07 42.2028 0
1.37822E+07 42.2242 0
1.39857E+07 42.246 0
1.41922E+07 42.268 0
1.44017E+07 42.2902 0
1.46143E+07 42.3128 0
1.48301E+07 42.3356 0
1.5049E+07 42.3588 0
1.52712E+07 42.3822 0
1.54967E+07 42.4059 0
1.57255E+07 42.4299 0
1.59576E+07 42.4542 0
1.61932E+07 42.4788 0
1.64323E+07 42.5037 0
1.66749E+07 42.5289 0
1.69211E+07 42.5544 0
1.71709E+07 42.5803 0
1.74244E+07 42.6064 0
1.76817E+07 42.6329 0
1.79427E+07 42.6597 0
1.82076E+07 42.6868 0
1.84764E+07 42.7143 0
1.87492E+07 42.7421 0
1.9026E+07 42.7702 0
1.93069E+07 42.7987 0
1.95919E+07 42.8275 0
1.98812E+07 42.8567 0
2.01747E+07 42.8733 0
2.04726E+07 42.8811 0
2.07748E+07 42.8891 0
2.10815E+07 42.8971 0
2.13928E+07 42.9054 0
2.17086E+07 42.9137 0
2.20291E+07 42.9221 0
2.23543E+07 42.9307 0
2.26843E+07 42.9394 0
2.30193E+07 42.9483 0
2.33591E+07 42.9573 0
2.3704E+07 42.9664 0
2.40539E+07 42.9757 0
2.44091E+07 42.9851 0
2.47694E+07 42.9946 0
2.51351E+07 43.0043 0
2.55062E+07 43.0142 0
2.58828E+07 43.0242 0
2.62649E+07 43.0344 0
2.66526E+07 43.0447 0
2.70461E+07 43.0552 0
2.74454E+07 43.0658 0
2.78506E+07 43.0766 0
2.82618E+07 43.0876 0
2.86791E+07 43.0988 0
2.91025E+07 43.1101 0
2.95321E+07 43.1216 0
2.99681E+07 43.1333 0
3.04106E+07 43.1427 0
3.08595E+07 43.1521 0
3.13151E+07 43.1616 0
3.17775E+07 43.1713 0
3.22466E+07 43.1811 0
3.27227E+07 43.1911 0
3.32058E+07 43.2012 0
3.3696E+07 43.2115 0
3.41935E+07 43.2219 0
3.46983E+07 43.2325 0
3.52106E+07 43.2432 0
3.57305E+07 43.2541 0
3.6258E+07 43.2652 0
3.67933E+07 43.2764 0
3.73365E+07 43.2879 0
3.78877E+07 43.2994 0
3.84471E+07 43.3112 0
3.90147E+07 43.3231 0
3.95907E+07 43.3353 0
4.01752E+07 43.3471 0
4.07683E+07 43.3578 0
4.13702E+07 43.3687 0
4.1981E+07 43.3798 0
4.26008E+07 43.391 0
4.32297E+07 43.4024 0
4.3868E+07 43.414 0
4.45156E+07 43.4257 0
4.51728E+07 43.4376 0
4.58397E+07 43.4496 0
4.65165E+07 43.4618 0
4.72033E+07 43.4742 0
4.79001E+07 43.4868 0
4.86073E+07 43.4995 0
4.9325E+07 43.5124 0
5.00532E+07 43.5246 0
5.07921E+07 43.5244 0
5.1542E+07 43.5243 0
5.2303E+07 43.5242 0
5.30752E+07 43.5241 0
5.38587E+07 43.5239 0
5.46539E+07 43.5238 0
5.54608E+07 43.5237 0
5.62796E+07 43.5235 0
5.71105E+07 43.5234 0
5.79536E+07 43.5232 0
5.88092E+07 43.523 0
5.96775E+07 43.5228 0
6.05585E+07 43.5337 0
6.14526E+07 43.5511 0
6.23599E+07 43.5687 0
6.32805E+07 43.5865 0
6.42148E+07 43.6046 0
6.51628E+07 43.6228 0
6.61249E+07 43.6412 0
6.71011E+07 43.6598 0
6.80918E+07 43.6786 0
6.90971E+07 43.6976 0
7.01172E+07 43.7152 0
7.11524E+07 43.7208 0
7.22029E+07 43.7265 0
7.32688E+07 43.7321 0
7.43506E+07 43.7379 0
7.54482E+07 43.7436 0
7.65621E+07 43.7494 0
7.76925E+07 43.7552 0
7.88395E+07 43.761 0
8.00035E+07 43.7669 0
8.11846E+07 43.7634 0
8.23832E+07 43.7598 0
8.35995E+07 43.7561 0
8.48337E+07 43.7523 0
8.60862E+07 43.7484 0
8.73571E+07 43.7443 0
8.86468E+07 43.7401 0
8.99556E+07 43.7357 0
9.12837E+07 43.7383 0
9.26313E+07 43.741 0
9.39989E+07 43.7437 0
9.53867E+07 43.7463 0
9.67949E+07 43.7488 0
9.8224E+07 43.7511 0
9.96741E+07 43.7534 0
1.01146E+08 43.7533 0
1.02639E+08 43.7524 0
1.04154E+08 43.7513 0
1.05692E+08 43.75 0
1.07252E+08 43.7485 0
1.08836E+08 43.7467 0
1.10443E+08 43.7424 0
1.12073E+08 43.7318 0
1.13728E+08 43.7207 0
1.15407E+08 43.7092 0
1.17111E+08 43.6972 0
1.1884E+08 43.6846 0
1.20594E+08 43.6747 0
1.22375E+08 43.6705 0
1.24181E+08 43.6659 0
1.26015E+08 43.6606 0
1.27875E+08 43.6548 0
1.29763E+08 43.6483 0
1.31679E+08 43.6358 0
1.33623E+08 43.6218 0
1.35596E+08 43.6069 0
1.37598E+08 43.591 0
1.39629E+08 43.574 0
1.4169E+08 43.5454 0
1.43782E+08 43.5132 0
1.45905E+08 43.4794 0
1.48059E+08 43.4438 0
1.50245E+08 43.4082 0
1.52463E+08 43.3844 0
1.54714E+08 43.3587 0
1.56998E+08 43.3309 0
1.59316E+08 43.3008 0
1.61668E+08 43.2721 0
1.64055E+08 43.2422 0
1.66477E+08 43.2091 0
1.68935E+08 43.1726 0
1.71429E+08 43.1293 0
1.7396E+08 43.0794 0
1.76528E+08 43.0244 0
1.79134E+08 42.964 0
1.81779E+08 42.8974 0
1.84463E+08 42.8237 0
1.87186E+08 42.742 0
1.8995E+08 42.651 0
1.92754E+08 42.5351 0
1.956E+08 42.4065 0
1.98488E+08 42.2635 0
2.01418E+08 42.1018 0
2.04392E+08 41.9185 0
2.07409E+08 41.7124 0
2.10471E+08 41.4813 0
2.13579E+08 41.2279 0
2.16732E+08 40.9369 0
2.19932E+08 40.6007 0
2.23179E+08 40.2188 0
2.26474E+08 39.7706 0
2.29817E+08 39.2403 0
2.3321E+08 38.6047 0
2.36653E+08 37.8421 0
2.40147E+08 36.9216 0
2.43692E+08 35.8169 0
2.4729E+08 34.4824 0
2.50941E+08 32.9202 0
2.54646E+08 31.2978 0
2.58406E+08 30.2427 0
2.62221E+08 30.5972 0
2.66092E+08 32.188 0
2.7002E+08 34.1182 0
2.74007E+08 35.9083 0
2.78052E+08 37.4239 0
2.82157E+08 38.6761 0
2.86323E+08 39.6997 0
2.9055E+08 40.5277 0
2.9484E+08 41.1958 0
2.99193E+08 41.7246 0
3.0361E+08 42.1339 0
3.08092E+08 42.4381 0
3.12641E+08 42.6343 0
3.17257E+08 42.7287 0
3.2194E+08 42.7224 0
3.26693E+08 42.6032 0
3.31517E+08 42.3628 0
3.36411E+08 41.9765 0
3.41378E+08 41.3953 0
3.46418E+08 40.5643 0
3.51532E+08 39.3952 0
3.56722E+08 37.7866 0
3.61988E+08 35.6325 0
3.67333E+08 32.9515 0
3.72756E+08 30.5572 0
3.78259E+08 30.6882 0
3.83844E+08 32.8424 0
3.89511E+08 34.9968 0
3.95261E+08 36.702 0
4.01097E+08 37.9982 0
4.07018E+08 38.9966 0
4.13028E+08 39.7728 0
4.19125E+08 40.3862 0
4.25313E+08 40.8858 0
4.31592E+08 41.2907 0
4.37964E+08 41.6115 0
4.4443E+08 41.8582 0
4.50992E+08 42.0578 0
4.5765E+08 42.2523 0
4.64406E+08 42.4364 0
4.71263E+08 42.6059 0
4.7822E+08 42.751 0
4.85281E+08 42.8962 0
4.92445E+08 43.0177 0
4.99716E+08 43.0972 0
5.07093E+08 43.1304 0
5.1458E+08 43.1686 0
5.22177E+08 43.2153 0
5.29886E+08 43.2707 0
5.37709E+08 43.3085 0
5.45648E+08 43.3656 0
5.53703E+08 43.4319 0
5.61878E+08 43.4852 0
5.70174E+08 43.4898 0
5.78591E+08 43.5087 0
5.87134E+08 43.5489 0
5.95802E+08 43.5706 0
6.04598E+08 43.5836 0
6.13524E+08 43.5996 0
6.22582E+08 43.6057 0
6.31774E+08 43.5856 0
6.41101E+08 43.5724 0
6.50566E+08 43.5843 0
6.60171E+08 43.5876 0
6.69917E+08 43.5969 0
6.79808E+08 43.6103 0
6.89844E+08 43.586 0
7.00029E+08 43.5757 0
7.10364E+08 43.5975 0
7.20851E+08 43.6037 0
7.31494E+08 43.5982 0
7.42293E+08 43.5843 0
7.53252E+08 43.5592 0
7.64373E+08 43.5477 0
7.75658E+08 43.5557 0
7.87109E+08 43.5586 0
7.9873E+08 43.5598 0
8.10522E+08 43.5234 0
8.22489E+08 43.5118 0
8.34631E+08 43.5319 0
8.46954E+08 43.5359 0
8.59458E+08 43.5327 0
8.72147E+08 43.5126 0
8.85023E+08 43.4918 0
8.98089E+08 43.5252 0
9.11348E+08 43.5366 0
9.24803E+08 43.4882 0
9.38456E+08 43.4275 0
9.52311E+08 43.4068 0
9.66371E+08 43.4219 0
9.80638E+08 43.4193 0
9.95116E+08 43.3693 0
1.00981E+09 43.3288 0
1.02472E+09 43.3467 0
1.03984E+09 43.3479 0
1.0552E+09 43.274 0
1.07078E+09 43.2209 0
1.08658E+09 43.2371 0
1.10263E+09 43.2463 0
1.1189E+09 43.1848 0
1.13542E+09 43.1457 0
1.15219E+09 43.1686 0
1.1692E+09 43.1654 0
1.18646E+09 43.0888 0
1.20398E+09 43.0572 0
1.22175E+09 43.0845 0
1.23979E+09 43.0559 0
1.25809E+09 43.0483 0
1.27667E+09 43.0731 0
1.29551E+09 43.0435 0
1.31464E+09 42.982 0
1.33405E+09 42.9589 0
1.35375E+09 42.9573 0
1.37373E+09 42.8931 0
1.39401E+09 42.8731 0
1.41459E+09 42.8788 0
1.43548E+09 42.8091 0
1.45667E+09 42.7897 0
1.47818E+09 42.7814 0
1.5E+09 42.7374 0
