Antenna	POL	deltaR(m)	deltaPhi(deg)	deltaZ(m)
0	0	-0.0879226	-1.58562	-3.04398e-05
0	1	0.0833784	-0.900143	-0.000107161
1	0	-0.0879226	-1.09815	-1.7722e-05
1	1	0.0833784	-0.469359	-0.000189054
2	0	-0.0879226	-1.36666	-7.92945e-06
2	1	0.0833784	0.0291843	2.79494e-05
3	0	-0.0879226	-1.37959	4.60455e-05
3	1	0.0833784	-0.237551	-1.39996e-05
4	0	-0.0879226	-0.373731	-7.47663e-05
4	1	0.0833784	0.371124	-6.96927e-06
5	0	-0.0879226	0.603004	-1.3125e-06
5	1	0.0833784	0.599677	5.57289e-06
6	0	-0.0879226	0.367508	6.00912e-06
6	1	0.0833784	0.461915	-3.30435e-05
7	0	-0.0879226	0.438113	-9.94185e-06
7	1	0.0833784	0.768465	1.10651e-05
8	0	-0.0879226	0.753497	1.61663e-05
8	1	0.0833784	0.51838	1.78177e-05
9	0	-0.0879226	0.027815	1.97373e-05
9	1	0.0833784	-0.141729	2.03025e-07
10	0	-0.0879226	-0.141767	3.18306e-05
10	1	0.0833784	0.554608	4.66056e-05
11	0	-0.0879226	-0.346736	-4.07677e-06
11	1	0.0833784	0.151031	2.21162e-05
12	0	-0.0879226	-0.745069	-1.60295e-05
12	1	0.0833784	0.243405	0.000173723
13	0	-0.0879226	-0.888921	6.38447e-05
13	1	0.0833784	-0.810699	0.000117798
14	0	-0.0879226	-1.25478	3.73321e-05
14	1	0.0833784	-0.294902	-0.000129601
15	0	-0.0879226	-1.43492	-1.94638e-05
15	1	0.0833784	-1.44788	-0.000395305
16	0	-0.0879226	0.510289	7.57946e-06
16	1	0.0833784	-0.296661	0.000109721
17	0	-0.0879226	0.664562	-4.06057e-05
17	1	0.0833784	-0.0459185	3.56463e-05
18	0	-0.0879226	0.339859	1.94534e-05
18	1	0.0833784	0.271445	2.24651e-05
19	0	-0.0879226	0.204727	4.3645e-05
19	1	0.0833784	-0.246838	4.90937e-06
20	0	-0.0879226	0.293481	-4.9917e-06
20	1	0.0833784	0.107042	-4.61889e-06
21	0	-0.0879226	0.330592	-1.35637e-05
21	1	0.0833784	-0.297927	-1.44701e-06
22	0	-0.0879226	0.0721279	-4.74991e-05
22	1	0.0833784	-0.572642	-7.12586e-07
23	0	-0.0879226	-0.0696247	-5.82001e-06
23	1	0.0833784	-0.541982	1.42298e-05
24	0	-0.0879226	0.285464	-1.73566e-05
24	1	0.0833784	-0.764653	3.17125e-05
25	0	-0.0879226	0.215956	-1.80614e-06
25	1	0.0833784	-0.467225	1.94009e-06
26	0	-0.0879226	0.0661159	1.37622e-05
26	1	0.0833784	-0.399914	2.72391e-05
27	0	-0.0879226	0.319359	7.07872e-06
27	1	0.0833784	-0.287025	8.53471e-06
28	0	-0.0879226	0.160816	-1.05896e-05
28	1	0.0833784	-0.0489924	0.000159623
29	0	-0.0879226	0.132586	-2.98123e-06
29	1	0.0833784	-0.346882	1.99069e-05
30	0	-0.0879226	0.632608	-3.1804e-05
30	1	0.0833784	-0.144841	-0.000107981
31	0	-0.0879226	0.526762	-4.37963e-05
31	1	0.0833784	0.111224	-0.000103126
32	0	-0.0879226	0.402252	2.47648e-05
32	1	0.0833784	-0.176099	0.000475432
33	0	-0.0879226	0.669226	-3.29981e-05
33	1	0.0833784	0.247717	-9.84305e-05
34	0	-0.0879226	0.391827	3.04644e-05
34	1	0.0833784	0.0106995	3.77156e-05
35	0	-0.0879226	0.308934	5.69622e-05
35	1	0.0833784	-0.094385	-1.67554e-06
36	0	-0.0879226	0.308811	2.78452e-05
36	1	0.0833784	0.112965	-2.05108e-05
37	0	-0.0879226	0.253991	6.00821e-06
37	1	0.0833784	-0.0576578	1.17161e-05
38	0	-0.0879226	-0.112122	-5.70228e-06
38	1	0.0833784	-0.726811	-1.52887e-05
39	0	-0.0879226	-0.0799946	2.11025e-05
39	1	0.0833784	-0.709143	-3.45834e-05
40	0	-0.0879226	-0.0419676	-3.46224e-05
40	1	0.0833784	-0.711571	-1.68474e-05
41	0	-0.0879226	-0.0389272	2.59094e-06
41	1	0.0833784	-0.491797	1.25661e-05
42	0	-0.0879226	0.0773728	-2.02242e-05
42	1	0.0833784	-0.956339	-7.00864e-06
43	0	-0.0879226	0.315987	5.02408e-05
43	1	0.0833784	-0.524887	7.70289e-05
44	0	-0.0879226	0.318133	-3.49246e-05
44	1	0.0833784	0.0353928	9.01894e-05
45	0	-0.0879226	0.266294	1.85135e-05
45	1	0.0833784	-0.256557	-1.97274e-06
46	0	-0.0879226	0.558165	9.74003e-06
46	1	0.0833784	-0.233422	-0.000153934
47	0	-0.0879226	0.655229	-2.05492e-05
47	1	0.0833784	0.167044	-0.000115859
