0 deg	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	34.11109446	0.017619148
	30.65380894	0.015707439
	26.93056953	0.01411088
	22.9445601	0.038415687
	18.70952713	0.094150825
	14.25174139	0.23064688
	9.610916937	0.594690991
	4.839500791	1.516157871
	2.424073954	2.907799175
	0	5.06
	-2.424073954	4.722666936
	-4.839500791	2.718976448
	-9.610916937	0.855520373
	-14.25174139	0.340478728
	-18.70952713	0.141226238
	-22.9445601	0.064026144
	-26.93056953	0.02822176
	-30.65380894	0.015707439
	-34.11109446	0
10 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	44.11109446	0.017619148
	40.65380894	0.015707439
	36.93056953	0.04233264
	32.9445601	0.102441831
	28.70952713	0.270683623
	24.25174139	0.669974271
	19.61091694	1.846672025
	14.83950079	6.014092886
	12.42407395	3.639762416
	10	2.27
	7.575926046	1.51406095
	5.160499209	0.778294374
	0.389083063	0.281695733
	-4.251741387	0.142781402
	-8.709527134	0.058844266
	-12.9445601	0.038415687
	-16.93056953	0.01411088
	-20.65380894	0
	-24.11109446	0
20 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	54.11109446	0.017619148
	50.65380894	0.047122317
	46.93056953	0.126997921
	42.9445601	0.320130721
	38.70952713	0.776744309
	34.25174139	1.987956445
	29.61091694	3.568145947
	24.83950079	1.789066287
	22.42407395	1.092931414
	20	0.71
	17.57592605	0.421129536
	15.16049921	0.262800698
	10.38908306	0.114764928
	5.748258613	0.054915924
	1.290472866	0.023537706
	-2.944560105	0.012805229
	-6.930569533	0
	-10.65380894	0
	-14.11109446	0
30 deg	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	64.11109446	0.052857443
	60.65380894	0.125659512
	56.93056953	0.253995842
	52.9445601	0.678677128
	48.70952713	1.459337793
	44.25174139	1.658460901
	39.61091694	1.168515632
	34.83950079	0.626678586
	32.42407395	0.441183323
	30	0.29
	27.57592605	0.19051098
	25.16049921	0.12129263
	20.38908306	0.062599052
	15.74825861	0.032949554
	11.29047287	0.023537706
	7.055439895	0.012805229
	3.069430467	0
	-0.653808943	0
	-4.111094457	0
40 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	74.11109446	0.247992676
	70.65380894	0.297275831
	66.93056953	0.5032256
	62.9445601	0.614650984
	58.70952713	0.788513162
	54.25174139	0.702923826
	49.61091694	0.438193362
	44.83950079	0.252692978
	42.42407395	0.210564768
	40	0.14
	37.57592605	0.100268937
	35.16049921	0.080861753
	30.38908306	0.041732701
	25.74825861	0.02196637
	21.29047287	0.011768853
	17.0554399	0.012805229
	13.06943047	0
	9.346191057	0
	5.888905543	0
50 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	87.30740066	0.03161288
	84.11109446	0.102114631
	80.65380894	0.135125378
	76.93056953	0.22645152
	72.9445601	0.21768889
	68.70952713	0.270683623
	64.25174139	0.25261325
	59.61091694	0.19823033
	54.83950079	0.131400349
	52.42407395	0.100268937
	50	0.09
	47.57592605	0.060161362
	45.16049921	0.050538596
	40.38908306	0.031299526
	35.74825861	0.02196637
	31.29047287	0.011768853
	27.0554399	0.012805229
	23.06943047	0
	19.34619106	0
60 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	94.11109446	0
	90.65380894	0
	86.93056953	0.02516128
	82.9445601	0.038415687
	78.70952713	0.070613119
	74.25174139	0.087865478
	69.61091694	0.093898578
	64.83950079	0.080861753
	62.42407395	0.070188256
	60	0.06
	57.57592605	0.040107575
	55.16049921	0.040430877
	50.38908306	0.020866351
	45.74825861	0.02196637
	41.29047287	0.011768853
	37.0554399	0.012805229
	33.06943047	0
	29.34619106	0
	25.88890554	0
70 deg.	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	104.1110945	0
	100.6538089	0
	96.93056953	0
	92.9445601	0
	88.70952713	0
	84.25174139	0.010983185
	79.61091694	0.031299526
	74.83950079	0.040430877
	72.42407395	0.040107575
	70	0.04
	67.57592605	0.040107575
	65.16049921	0.040430877
	60.38908306	0.031299526
	55.74825861	0.02196637
	51.29047287	0.023537706
	47.0554399	0.012805229
	43.06943047	0.01411088
	39.34619106	0
	35.88890554	0
75 deg	"Angle off Diffuser Normal, _p (deg.)"	Pout (uW)
	104.1110945	
	100.6538089	0
	96.93056953	0
	92.9445601	0
	88.70952713	0
	84.25174139	0
	79.61091694	0
	74.83950079	0.010107719
	72.42407395	0.020053787
	70	0.02
	67.57592605	0.020053787
	65.16049921	0.020215438
	60.38908306	0.020866351
	55.74825861	0.02196637
	51.29047287	0.023537706
	47.0554399	0.012805229
	43.06943047	0
	39.34619106	0
	35.88890554	0
