"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7465;0
1.01476e+06;40.7484;0
1.02975e+06;40.7503;0
1.04495e+06;40.7522;0
1.06038e+06;40.7542;0
1.07603e+06;40.7562;0
1.09192e+06;40.7582;0
1.10804e+06;40.7602;0
1.1244e+06;40.7623;0
1.141e+06;40.7644;0
1.15784e+06;40.7666;0
1.17494e+06;40.7688;0
1.19228e+06;40.771;0
1.20988e+06;40.7732;0
1.22775e+06;40.7755;0
1.24587e+06;40.7778;0
1.26427e+06;40.7801;0
1.28293e+06;40.7825;0
1.30187e+06;40.7849;0
1.32109e+06;40.7873;0
1.3406e+06;40.7898;0
1.36039e+06;40.7923;0
1.38047e+06;40.7948;0
1.40085e+06;40.7974;0
1.42154e+06;40.8;0
1.44252e+06;40.8027;0
1.46382e+06;40.8054;0
1.48543e+06;40.8081;0
1.50736e+06;40.8109;0
1.52962e+06;40.8137;0
1.5522e+06;40.8166;0
1.57512e+06;40.8195;0
1.59837e+06;40.8224;0
1.62197e+06;40.8254;0
1.64591e+06;40.8284;0
1.67021e+06;40.8315;0
1.69487e+06;40.8346;0
1.71989e+06;40.8378;0
1.74529e+06;40.841;0
1.77105e+06;40.8442;0
1.7972e+06;40.8475;0
1.82373e+06;40.8508;0
1.85066e+06;40.8542;0
1.87798e+06;40.8577;0
1.90571e+06;40.8612;0
1.93384e+06;40.8647;0
1.96239e+06;40.8683;0
1.99137e+06;40.8719;0
2.02076e+06;40.8756;0
2.0506e+06;40.8794;0
2.08087e+06;40.8831;0
2.11159e+06;40.887;0
2.14277e+06;40.8909;0
2.1744e+06;40.8949;0
2.20651e+06;40.8989;0
2.23908e+06;40.903;0
2.27214e+06;40.9071;0
2.30569e+06;40.9113;0
2.33973e+06;40.9155;0
2.37427e+06;40.9199;0
2.40932e+06;40.9242;0
2.44489e+06;40.9287;0
2.48099e+06;40.9332;0
2.51762e+06;40.9377;0
2.55479e+06;40.9424;0
2.5925e+06;40.9471;0
2.63078e+06;40.9518;0
2.66962e+06;40.9567;0
2.70903e+06;40.9616;0
2.74903e+06;40.9665;0
2.78961e+06;40.9716;0
2.8308e+06;40.9767;0
2.87259e+06;40.9818;0
2.915e+06;40.9871;0
2.95804e+06;40.9924;0
3.00171e+06;40.9978;0
3.04602e+06;41.0033;0
3.09099e+06;41.0089;0
3.13663e+06;41.0145;0
3.18294e+06;41.0202;0
3.22993e+06;41.026;0
3.27761e+06;41.0319;0
3.326e+06;41.0379;0
3.37511e+06;41.0439;0
3.42494e+06;41.05;0
3.4755e+06;41.0562;0
3.52681e+06;41.0625;0
3.57888e+06;41.0689;0
3.63172e+06;41.0754;0
3.68534e+06;41.082;0
3.73975e+06;41.0886;0
3.79496e+06;41.0954;0
3.85099e+06;41.1022;0
3.90784e+06;41.1092;0
3.96553e+06;41.1162;0
4.02408e+06;41.1234;0
4.08349e+06;41.1306;0
4.14378e+06;41.1379;0
4.20496e+06;41.1454;0
4.26704e+06;41.1529;0
4.33003e+06;41.1606;0
4.39396e+06;41.1683;0
4.45883e+06;41.1762;0
4.52466e+06;41.1842;0
4.59146e+06;41.1922;0
4.65925e+06;41.2004;0
4.72804e+06;41.2087;0
4.79784e+06;41.2171;0
4.86867e+06;41.2257;0
4.94055e+06;41.2343;0
5.01349e+06;41.2431;0
5.08751e+06;41.252;0
5.16262e+06;41.261;0
5.23884e+06;41.2701;0
5.31618e+06;41.2794;0
5.39467e+06;41.2888;0
5.47432e+06;41.2983;0
5.55514e+06;41.3079;0
5.63715e+06;41.3177;0
5.72038e+06;41.3276;0
5.80483e+06;41.3377;0
5.89053e+06;41.3479;0
5.9775e+06;41.3582;0
6.06575e+06;41.3686;0
6.1553e+06;41.3792;0
6.24617e+06;41.39;0
6.33839e+06;41.4009;0
6.43197e+06;41.4119;0
6.52693e+06;41.4231;0
6.62329e+06;41.4344;0
6.72107e+06;41.4459;0
6.8203e+06;41.4575;0
6.92099e+06;41.4693;0
7.02317e+06;41.4813;0
7.12686e+06;41.4934;0
7.23208e+06;41.5057;0
7.33885e+06;41.5181;0
