"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.654;0
1.01476e+06;-175.66;0
1.02975e+06;-175.667;0
1.04495e+06;-175.673;0
1.06038e+06;-175.68;0
1.07603e+06;-175.687;0
1.09192e+06;-175.693;0
1.10804e+06;-175.7;0
1.1244e+06;-175.707;0
1.141e+06;-175.715;0
1.15784e+06;-175.722;0
1.17494e+06;-175.729;0
1.19228e+06;-175.737;0
1.20988e+06;-175.744;0
1.22775e+06;-175.752;0
1.24587e+06;-175.76;0
1.26427e+06;-175.768;0
1.28293e+06;-175.776;0
1.30187e+06;-175.784;0
1.32109e+06;-175.792;0
1.3406e+06;-175.801;0
1.36039e+06;-175.809;0
1.38047e+06;-175.818;0
1.40085e+06;-175.827;0
1.42154e+06;-175.836;0
1.44252e+06;-175.845;0
1.46382e+06;-175.854;0
1.48543e+06;-175.863;0
1.50736e+06;-175.873;0
1.52962e+06;-175.882;0
1.5522e+06;-175.892;0
1.57512e+06;-175.902;0
1.59837e+06;-175.912;0
1.62197e+06;-175.922;0
1.64591e+06;-175.932;0
1.67021e+06;-175.943;0
1.69487e+06;-175.953;0
1.71989e+06;-175.964;0
1.74529e+06;-175.975;0
1.77105e+06;-175.986;0
1.7972e+06;-175.997;0
1.82373e+06;-176.009;0
1.85066e+06;-176.02;0
1.87798e+06;-176.032;0
1.90571e+06;-176.044;0
1.93384e+06;-176.056;0
1.96239e+06;-176.068;0
1.99137e+06;-176.081;0
2.02076e+06;-176.093;0
2.0506e+06;-176.106;0
2.08087e+06;-176.119;0
2.11159e+06;-176.132;0
2.14277e+06;-176.146;0
2.1744e+06;-176.159;0
2.20651e+06;-176.173;0
2.23908e+06;-176.187;0
2.27214e+06;-176.201;0
2.30569e+06;-176.216;0
2.33973e+06;-176.23;0
2.37427e+06;-176.245;0
2.40932e+06;-176.26;0
2.44489e+06;-176.275;0
2.48099e+06;-176.291;0
2.51762e+06;-176.307;0
2.55479e+06;-176.323;0
2.5925e+06;-176.339;0
2.63078e+06;-176.355;0
2.66962e+06;-176.372;0
2.70903e+06;-176.389;0
2.74903e+06;-176.406;0
2.78961e+06;-176.423;0
2.8308e+06;-176.441;0
2.87259e+06;-176.459;0
2.915e+06;-176.477;0
2.95804e+06;-176.495;0
3.00171e+06;-176.514;0
3.04602e+06;-176.533;0
3.09099e+06;-176.552;0
3.13663e+06;-176.572;0
3.18294e+06;-176.591;0
3.22993e+06;-176.612;0
3.27761e+06;-176.632;0
3.326e+06;-176.653;0
3.37511e+06;-176.674;0
3.42494e+06;-176.695;0
3.4755e+06;-176.716;0
3.52681e+06;-176.738;0
3.57888e+06;-176.761;0
3.63172e+06;-176.783;0
3.68534e+06;-176.806;0
3.73975e+06;-176.829;0
3.79496e+06;-176.853;0
3.85099e+06;-176.877;0
3.90784e+06;-176.901;0
3.96553e+06;-176.926;0
4.02408e+06;-176.951;0
4.08349e+06;-176.976;0
4.14378e+06;-177.002;0
4.20496e+06;-177.028;0
4.26704e+06;-177.054;0
4.33003e+06;-177.081;0
4.39396e+06;-177.108;0
4.45883e+06;-177.136;0
4.52466e+06;-177.164;0
4.59146e+06;-177.192;0
4.65925e+06;-177.221;0
4.72804e+06;-177.25;0
4.79784e+06;-177.28;0
4.86867e+06;-177.31;0
4.94055e+06;-177.34;0
5.01349e+06;-177.371;0
5.08751e+06;-177.403;0
5.16262e+06;-177.435;0
5.23884e+06;-177.467;0
5.31618e+06;-177.5;0
5.39467e+06;-177.533;0
5.47432e+06;-177.567;0
5.55514e+06;-177.601;0
5.63715e+06;-177.636;0
5.72038e+06;-177.671;0
5.80483e+06;-177.707;0
5.89053e+06;-177.743;0
5.9775e+06;-177.78;0
6.06575e+06;-177.817;0
6.1553e+06;-177.855;0
6.24617e+06;-177.894;0
6.33839e+06;-177.933;0
6.43197e+06;-177.972;0
6.52693e+06;-178.012;0
6.62329e+06;-178.053;0
6.72107e+06;-178.094;0
6.8203e+06;-178.136;0
6.92099e+06;-178.179;0
7.02317e+06;-178.222;0
7.12686e+06;-178.265;0
7.23208e+06;-178.31;0
7.33885e+06;-178.355;0
7.4472e+06;-178.4;0
7.55715e+06;-178.447;0
7.66872e+06;-178.494;0
7.78194e+06;-178.541;0
7.89683e+06;-178.589;0
8.01341e+06;-178.638;0
8.13172e+06;-178.688;0
8.25177e+06;-178.739;0
8.3736e+06;-178.79;0
8.49723e+06;-178.842;0
8.62268e+06;-178.894;0
8.74998e+06;-178.948;0
8.87916e+06;-179.002;0
9.01025e+06;-179.057;0
9.14327e+06;-179.112;0
9.27826e+06;-179.169;0
9.41524e+06;-179.226;0
9.55425e+06;-179.284;0
9.6953e+06;-179.343;0
9.83844e+06;-179.403;0
9.98369e+06;-179.464;0
1.01311e+07;-179.526;0
1.02807e+07;-179.588;0
1.04324e+07;-179.651;0
1.05865e+07;-179.716;0
1.07428e+07;-179.781;0
1.09014e+07;-179.847;0
1.10623e+07;-179.914;0
1.12256e+07;-179.982;0
1.13914e+07;-180.051;0
1.15595e+07;-180.121;0
1.17302e+07;-180.192;0
1.19034e+07;-180.264;0
1.20791e+07;-180.337;0
1.22574e+07;-180.411;0
1.24384e+07;-180.486;0
1.2622e+07;-180.563;0
1.28084e+07;-180.64;0
1.29975e+07;-180.719;0
1.31894e+07;-180.798;0
1.33841e+07;-180.879;0
1.35817e+07;-180.961;0
1.37822e+07;-181.044;0
1.39857e+07;-181.128;0
1.41922e+07;-181.214;0
1.44017e+07;-181.3;0
1.46143e+07;-181.388;0
1.48301e+07;-181.478;0
1.5049e+07;-181.568;0
1.52712e+07;-181.66;0
1.54967e+07;-181.753;0
1.57255e+07;-181.848;0
1.59576e+07;-181.944;0
1.61932e+07;-182.041;0
1.64323e+07;-182.14;0
1.66749e+07;-182.24;0
1.69211e+07;-182.341;0
1.71709e+07;-182.444;0
1.74244e+07;-182.549;0
1.76817e+07;-182.655;0
1.79427e+07;-182.763;0
1.82076e+07;-182.872;0
1.84764e+07;-182.983;0
1.87492e+07;-183.095;0
1.9026e+07;-183.209;0
1.93069e+07;-183.325;0
1.95919e+07;-183.442;0
1.98812e+07;-183.562;0
2.01747e+07;-183.622;0
2.04726e+07;-183.64;0
2.07748e+07;-183.659;0
2.10815e+07;-183.678;0
2.13928e+07;-183.698;0
2.17086e+07;-183.718;0
2.20291e+07;-183.738;0
2.23543e+07;-183.758;0
2.26843e+07;-183.779;0
2.30193e+07;-183.799;0
2.33591e+07;-183.821;0
2.3704e+07;-183.842;0
2.40539e+07;-183.864;0
2.44091e+07;-183.886;0
2.47694e+07;-183.908;0
2.51351e+07;-183.931;0
2.55062e+07;-183.954;0
2.58828e+07;-183.977;0
2.62649e+07;-184.001;0
2.66526e+07;-184.025;0
2.70461e+07;-184.05;0
2.74454e+07;-184.075;0
2.78506e+07;-184.1;0
2.82618e+07;-184.126;0
2.86791e+07;-184.152;0
2.91025e+07;-184.178;0
2.95321e+07;-184.205;0
2.99681e+07;-184.233;0
3.04106e+07;-184.268;0
3.08595e+07;-184.304;0
3.13151e+07;-184.34;0
3.17775e+07;-184.377;0
3.22466e+07;-184.415;0
3.27227e+07;-184.453;0
3.32058e+07;-184.492;0
3.3696e+07;-184.532;0
3.41935e+07;-184.572;0
3.46983e+07;-184.613;0
3.52106e+07;-184.655;0
3.57305e+07;-184.697;0
3.6258e+07;-184.74;0
3.67933e+07;-184.783;0
3.73365e+07;-184.828;0
3.78877e+07;-184.873;0
3.84471e+07;-184.919;0
3.90147e+07;-184.966;0
3.95907e+07;-185.013;0
4.01752e+07;-185.087;0
4.07683e+07;-185.22;0
4.13702e+07;-185.356;0
4.1981e+07;-185.494;0
4.26008e+07;-185.633;0
4.32297e+07;-185.776;0
4.3868e+07;-185.92;0
4.45156e+07;-186.067;0
4.51728e+07;-186.215;0
4.58397e+07;-186.367;0
4.65165e+07;-186.52;0
4.72033e+07;-186.676;0
4.79001e+07;-186.835;0
4.86073e+07;-186.996;0
4.9325e+07;-187.16;0
5.00532e+07;-187.319;0
5.07921e+07;-187.388;0
5.1542e+07;-187.459;0
5.2303e+07;-187.531;0
5.30752e+07;-187.604;0
5.38587e+07;-187.678;0
5.46539e+07;-187.754;0
5.54608e+07;-187.831;0
5.62796e+07;-187.909;0
5.71105e+07;-187.989;0
5.79536e+07;-188.071;0
5.88092e+07;-188.154;0
5.96775e+07;-188.238;0
6.05585e+07;-188.325;0
6.14526e+07;-188.414;0
6.23599e+07;-188.504;0
6.32805e+07;-188.596;0
6.42148e+07;-188.69;0
6.51628e+07;-188.785;0
6.61249e+07;-188.883;0
6.71011e+07;-188.982;0
6.80918e+07;-189.083;0
6.90971e+07;-189.186;0
7.01172e+07;-189.295;0
7.11524e+07;-189.435;0
7.22029e+07;-189.578;0
7.32688e+07;-189.723;0
7.43506e+07;-189.871;0
7.54482e+07;-190.022;0
7.65621e+07;-190.175;0
7.76925e+07;-190.332;0
7.88395e+07;-190.491;0
8.00035e+07;-190.654;0
8.11846e+07;-190.774;0
8.23832e+07;-190.897;0
8.35995e+07;-191.022;0
8.48337e+07;-191.15;0
8.60862e+07;-191.281;0
8.73571e+07;-191.415;0
8.86468e+07;-191.552;0
8.99556e+07;-191.692;0
9.12837e+07;-191.853;0
9.26313e+07;-192.018;0
9.39989e+07;-192.187;0
9.53867e+07;-192.36;0
9.67949e+07;-192.537;0
9.8224e+07;-192.718;0
9.96741e+07;-192.903;0
1.01146e+08;-193.126;0
1.02639e+08;-193.364;0
1.04154e+08;-193.607;0
1.05692e+08;-193.855;0
1.07252e+08;-194.11;0
1.08836e+08;-194.37;0
1.10443e+08;-194.627;0
1.12073e+08;-194.861;0
1.13728e+08;-195.102;0
