"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7453;0
1.01476e+06;40.7472;0
1.02975e+06;40.7491;0
1.04495e+06;40.751;0
1.06038e+06;40.7529;0
1.07603e+06;40.7549;0
1.09192e+06;40.7569;0
1.10804e+06;40.759;0
1.1244e+06;40.761;0
1.141e+06;40.7631;0
1.15784e+06;40.7652;0
1.17494e+06;40.7674;0
1.19228e+06;40.7696;0
1.20988e+06;40.7718;0
1.22775e+06;40.774;0
1.24587e+06;40.7763;0
1.26427e+06;40.7786;0
1.28293e+06;40.781;0
1.30187e+06;40.7834;0
1.32109e+06;40.7858;0
1.3406e+06;40.7882;0
1.36039e+06;40.7907;0
1.38047e+06;40.7932;0
1.40085e+06;40.7958;0
1.42154e+06;40.7984;0
1.44252e+06;40.801;0
1.46382e+06;40.8037;0
1.48543e+06;40.8064;0
1.50736e+06;40.8092;0
1.52962e+06;40.8119;0
1.5522e+06;40.8148;0
1.57512e+06;40.8176;0
1.59837e+06;40.8206;0
1.62197e+06;40.8235;0
1.64591e+06;40.8265;0
1.67021e+06;40.8295;0
1.69487e+06;40.8326;0
1.71989e+06;40.8357;0
1.74529e+06;40.8389;0
1.77105e+06;40.8421;0
1.7972e+06;40.8454;0
1.82373e+06;40.8487;0
1.85066e+06;40.8521;0
1.87798e+06;40.8555;0
1.90571e+06;40.8589;0
1.93384e+06;40.8624;0
1.96239e+06;40.866;0
1.99137e+06;40.8696;0
2.02076e+06;40.8732;0
2.0506e+06;40.8769;0
2.08087e+06;40.8807;0
2.11159e+06;40.8845;0
2.14277e+06;40.8884;0
2.1744e+06;40.8923;0
2.20651e+06;40.8963;0
2.23908e+06;40.9003;0
2.27214e+06;40.9044;0
2.30569e+06;40.9086;0
2.33973e+06;40.9128;0
2.37427e+06;40.9171;0
2.40932e+06;40.9214;0
2.44489e+06;40.9258;0
2.48099e+06;40.9303;0
2.51762e+06;40.9348;0
2.55479e+06;40.9394;0
2.5925e+06;40.944;0
2.63078e+06;40.9487;0
2.66962e+06;40.9535;0
2.70903e+06;40.9584;0
2.74903e+06;40.9633;0
2.78961e+06;40.9683;0
2.8308e+06;40.9733;0
2.87259e+06;40.9785;0
2.915e+06;40.9837;0
2.95804e+06;40.9889;0
3.00171e+06;40.9943;0
3.04602e+06;40.9997;0
3.09099e+06;41.0052;0
3.13663e+06;41.0108;0
3.18294e+06;41.0165;0
3.22993e+06;41.0222;0
3.27761e+06;41.028;0
3.326e+06;41.0339;0
3.37511e+06;41.0399;0
3.42494e+06;41.046;0
3.4755e+06;41.0521;0
3.52681e+06;41.0584;0
3.57888e+06;41.0647;0
3.63172e+06;41.0711;0
3.68534e+06;41.0776;0
3.73975e+06;41.0842;0
3.79496e+06;41.0909;0
3.85099e+06;41.0977;0
3.90784e+06;41.1046;0
3.96553e+06;41.1115;0
4.02408e+06;41.1186;0
4.08349e+06;41.1258;0
4.14378e+06;41.133;0
4.20496e+06;41.1404;0
4.26704e+06;41.1479;0
4.33003e+06;41.1554;0
4.39396e+06;41.1631;0
4.45883e+06;41.1709;0
4.52466e+06;41.1788;0
4.59146e+06;41.1868;0
4.65925e+06;41.1949;0
4.72804e+06;41.2031;0
4.79784e+06;41.2115;0
4.86867e+06;41.2199;0
4.94055e+06;41.2285;0
5.01349e+06;41.2372;0
5.08751e+06;41.246;0
5.16262e+06;41.2549;0
5.23884e+06;41.2639;0
5.31618e+06;41.2731;0
5.39467e+06;41.2824;0
5.47432e+06;41.2918;0
5.55514e+06;41.3014;0
5.63715e+06;41.3111;0
5.72038e+06;41.3209;0
5.80483e+06;41.3308;0
5.89053e+06;41.3409;0
5.9775e+06;41.3511;0
6.06575e+06;41.3615;0
6.1553e+06;41.372;0
6.24617e+06;41.3826;0
6.33839e+06;41.3934;0
6.43197e+06;41.4043;0
6.52693e+06;41.4154;0
6.62329e+06;41.4266;0
6.72107e+06;41.438;0
6.8203e+06;41.4495;0
6.92099e+06;41.4612;0
7.02317e+06;41.473;0
7.12686e+06;41.485;0
7.23208e+06;41.4972;0
7.33885e+06;41.5095;0
7.4472e+06;41.522;0
7.55715e+06;41.5347;0
7.66872e+06;41.5475;0
7.78194e+06;41.5605;0
7.89683e+06;41.5736;0
8.01341e+06;41.587;0
8.13172e+06;41.6005;0
8.25177e+06;41.6142;0
8.3736e+06;41.628;0
8.49723e+06;41.6421;0
8.62268e+06;41.6563;0
8.74998e+06;41.6708;0
8.87916e+06;41.6854;0
9.01025e+06;41.7002;0
9.14327e+06;41.7152;0
9.27826e+06;41.7304;0
9.41524e+06;41.7458;0
9.55425e+06;41.7614;0
9.6953e+06;41.7772;0
9.83844e+06;41.7932;0
9.98369e+06;41.8095;0
1.01311e+07;41.8259;0
1.02807e+07;41.8425;0
1.04324e+07;41.8594;0
1.05865e+07;41.8765;0
1.07428e+07;41.8938;0
1.09014e+07;41.9113;0
1.10623e+07;41.929;0
1.12256e+07;41.947;0
1.13914e+07;41.9652;0
1.15595e+07;41.9837;0
1.17302e+07;42.0023;0
1.19034e+07;42.0212;0
1.20791e+07;42.0404;0
1.22574e+07;42.0598;0
1.24384e+07;42.0794;0
1.2622e+07;42.0993;0
1.28084e+07;42.1195;0
1.29975e+07;42.1399;0
1.31894e+07;42.1606;0
1.33841e+07;42.1815;0
1.35817e+07;42.2027;0
1.37822e+07;42.2241;0
1.39857e+07;42.2459;0
1.41922e+07;42.2679;0
1.44017e+07;42.2901;0
1.46143e+07;42.3127;0
1.48301e+07;42.3355;0
1.5049e+07;42.3586;0
1.52712e+07;42.3821;0
1.54967e+07;42.4058;0
1.57255e+07;42.4298;0
1.59576e+07;42.454;0
1.61932e+07;42.4786;0
1.64323e+07;42.5035;0
1.66749e+07;42.5288;0
1.69211e+07;42.5543;0
1.71709e+07;42.5801;0
1.74244e+07;42.6063;0
1.76817e+07;42.6327;0
1.79427e+07;42.6595;0
1.82076e+07;42.6867;0
1.84764e+07;42.7141;0
1.87492e+07;42.7419;0
1.9026e+07;42.7701;0
1.93069e+07;42.7985;0
1.95919e+07;42.8273;0
1.98812e+07;42.8565;0
2.01747e+07;42.8731;0
2.04726e+07;42.8809;0
2.07748e+07;42.8889;0
2.10815e+07;42.8969;0
2.13928e+07;42.9051;0
2.17086e+07;42.9135;0
2.20291e+07;42.9219;0
2.23543e+07;42.9305;0
2.26843e+07;42.9392;0
2.30193e+07;42.948;0
2.33591e+07;42.957;0
2.3704e+07;42.9661;0
2.40539e+07;42.9754;0
2.44091e+07;42.9848;0
2.47694e+07;42.9944;0
2.51351e+07;43.004;0
2.55062e+07;43.0139;0
2.58828e+07;43.0239;0
2.62649e+07;43.034;0
2.66526e+07;43.0444;0
2.70461e+07;43.0548;0
2.74454e+07;43.0655;0
2.78506e+07;43.0763;0
2.82618e+07;43.0872;0
2.86791e+07;43.0984;0
2.91025e+07;43.1097;0
2.95321e+07;43.1212;0
2.99681e+07;43.1329;0
3.04106e+07;43.1423;0
3.08595e+07;43.1516;0
3.13151e+07;43.1612;0
3.17775e+07;43.1708;0
3.22466e+07;43.1806;0
3.27227e+07;43.1906;0
3.32058e+07;43.2007;0
3.3696e+07;43.2109;0
3.41935e+07;43.2213;0
3.46983e+07;43.2319;0
3.52106e+07;43.2426;0
3.57305e+07;43.2535;0
3.6258e+07;43.2646;0
3.67933e+07;43.2758;0
3.73365e+07;43.2872;0
3.78877e+07;43.2988;0
3.84471e+07;43.3105;0
3.90147e+07;43.3224;0
3.95907e+07;43.3345;0
4.01752e+07;43.3463;0
4.07683e+07;43.357;0
4.13702e+07;43.3679;0
4.1981e+07;43.379;0
4.26008e+07;43.3902;0
4.32297e+07;43.4016;0
4.3868e+07;43.4131;0
4.45156e+07;43.4248;0
4.51728e+07;43.4366;0
4.58397e+07;43.4486;0
4.65165e+07;43.4608;0
4.72033e+07;43.4732;0
4.79001e+07;43.4857;0
4.86073e+07;43.4984;0
4.9325e+07;43.5113;0
5.00532e+07;43.5234;0
5.07921e+07;43.5232;0
5.1542e+07;43.5231;0
5.2303e+07;43.5229;0
5.30752e+07;43.5227;0
5.38587e+07;43.5226;0
5.46539e+07;43.5224;0
5.54608e+07;43.5222;0
5.62796e+07;43.522;0
5.71105e+07;43.5218;0
5.79536e+07;43.5216;0
5.88092e+07;43.5214;0
5.96775e+07;43.5211;0
6.05585e+07;43.5319;0
6.14526e+07;43.5493;0
6.23599e+07;43.5668;0
6.32805e+07;43.5846;0
6.42148e+07;43.6025;0
6.51628e+07;43.6207;0
6.61249e+07;43.639;0
6.71011e+07;43.6576;0
6.80918e+07;43.6763;0
6.90971e+07;43.6952;0
7.01172e+07;43.7128;0
7.11524e+07;43.7183;0
7.22029e+07;43.7239;0
7.32688e+07;43.7294;0
7.43506e+07;43.7351;0
7.54482e+07;43.7407;0
7.65621e+07;43.7464;0
7.76925e+07;43.7521;0
7.88395e+07;43.7578;0
8.00035e+07;43.7636;0
8.11846e+07;43.76;0
8.23832e+07;43.7563;0
8.35995e+07;43.7525;0
8.48337e+07;43.7485;0
8.60862e+07;43.7445;0
8.73571e+07;43.7402;0
8.86468e+07;43.7359;0
8.99556e+07;43.7313;0
9.12837e+07;43.7338;0
9.26313e+07;43.7363;0
9.39989e+07;43.7388;0
9.53867e+07;43.7412;0
9.67949e+07;43.7435;0
9.8224e+07;43.7457;0
9.96741e+07;43.7478;0
1.01146e+08;43.7475;0
1.02639e+08;43.7464;0
1.04154e+08;43.7451;0
1.05692e+08;43.7435;0
1.07252e+08;43.7417;0
1.08836e+08;43.7396;0
1.10443e+08;43.7351;0
1.12073e+08;43.7242;0
1.13728e+08;43.7128;0
1.15407e+08;43.701;0
1.17111e+08;43.6886;0
1.1884e+08;43.6757;0
1.20594e+08;43.6654;0
1.22375e+08;43.6609;0
1.24181e+08;43.6558;0
1.26015e+08;43.6501;0
1.27875e+08;43.6438;0
1.29763e+08;43.6368;0
1.31679e+08;43.6239;0
1.33623e+08;43.6093;0
1.35596e+08;43.5939;0
1.37598e+08;43.5773;0
1.39629e+08;43.5597;0
1.4169e+08;43.5305;0
1.43782e+08;43.4976;0
1.45905e+08;43.463;0
1.48059e+08;43.4267;0
1.50245e+08;43.3902;0
1.52463e+08;43.3655;0
1.54714e+08;43.3389;0
1.56998e+08;43.3101;0
1.59316e+08;43.2789;0
1.61668e+08;43.249;0
1.64055e+08;43.2179;0
1.66477e+08;43.1835;0
1.68935e+08;43.1457;0
1.71429e+08;43.1008;0
1.7396e+08;43.0492;0
1.76528e+08;42.9926;0
1.79134e+08;42.9303;0
1.81779e+08;42.8617;0
1.84463e+08;42.786;0
1.87186e+08;42.702;0
1.8995e+08;42.6086;0
1.92754e+08;42.4901;0
1.956e+08;42.3587;0
1.98488e+08;42.2129;0
2.01418e+08;42.0483;0
2.04392e+08;41.8619;0
2.07409e+08;41.6527;0
2.10471e+08;41.4186;0
2.13579e+08;41.1624;0
2.16732e+08;40.8691;0
2.19932e+08;40.5314;0
2.23179e+08;40.1495;0
2.26474e+08;39.7036;0
2.29817e+08;39.1794;0
2.3321e+08;38.5563;0
2.36653e+08;37.8165;0
2.40147e+08;36.9365;0
2.43692e+08;35.9024;0
2.4729e+08;34.6912;0
2.50941e+08;33.3388;0
2.54646e+08;32.03;0
2.58406e+08;31.2564;0
2.62221e+08;31.5465;0
2.66092e+08;32.796;0
2.7002e+08;34.4142;0
2.74007e+08;36.0016;0
2.78052e+08;37.3956;0
2.82157e+08;38.5755;0
2.86323e+08;39.5564;0
2.9055e+08;40.3597;0
2.9484e+08;41.0139;0
2.99193e+08;41.5354;0
3.0361e+08;41.9411;0
3.08092e+08;42.2433;0
3.12641e+08;42.438;0
3.17257e+08;42.5304;0
3.2194e+08;42.5213;0
3.26693e+08;42.3987;0
3.31517e+08;42.1549;0
3.36411e+08;41.7669;0
3.41378e+08;41.189;0
3.46418e+08;40.3728;0
3.51532e+08;39.2414;0
3.56722e+08;37.7164;0
3.61988e+08;35.7401;0
3.67333e+08;33.4205;0
3.72756e+08;31.5155;0
3.78259e+08;31.5668;0
3.83844e+08;33.2619;0
3.89511e+08;35.1416;0
3.95261e+08;36.7213;0
4.01097e+08;37.9613;0
4.07018e+08;38.9351;0
4.13028e+08;39.7017;0
4.19125e+08;40.3128;0
4.25313e+08;40.8139;0
4.31592e+08;41.222;0
4.37964e+08;41.5467;0
4.4443e+08;41.7976;0
4.50992e+08;42.0012;0
4.5765e+08;42.1995;0
4.64406e+08;42.3872;0
4.71263e+08;42.56;0
4.7822e+08;42.7083;0
4.85281e+08;42.8564;0
4.92445e+08;42.9806;0
4.99716e+08;43.0626;0
5.07093e+08;43.098;0
5.1458e+08;43.1382;0
5.22177e+08;43.1868;0
5.29886e+08;43.2438;0
5.37709e+08;43.2831;0
5.45648e+08;43.3416;0
5.53703e+08;43.4093;0
5.61878e+08;43.4639;0
5.70174e+08;43.4697;0
5.78591e+08;43.4897;0
5.87134e+08;43.5309;0
5.95802e+08;43.5534;0
6.04598e+08;43.5673;0
6.13524e+08;43.5841;0
6.22582e+08;43.591;0
6.31774e+08;43.5716;0
6.41101e+08;43.559;0
6.50566e+08;43.5716;0
6.60171e+08;43.5755;0
6.69917e+08;43.5853;0
6.79808e+08;43.5992;0
6.89844e+08;43.5754;0
7.00029e+08;43.5656;0
7.10364e+08;43.5879;0
7.20851e+08;43.5945;0
7.31494e+08;43.5893;0
7.42293e+08;43.5759;0
7.53252e+08;43.5511;0
7.64373e+08;43.5399;0
7.75658e+08;43.5482;0
7.87109e+08;43.5514;0
7.9873e+08;43.5529;0
8.10522e+08;43.5168;0
8.22489e+08;43.5055;0
8.34631e+08;43.5258;0
8.46954e+08;43.53;0
8.59458e+08;43.527;0
8.72147e+08;43.5072;0
8.85023e+08;43.4866;0
8.98089e+08;43.5202;0
9.11348e+08;43.5318;0
9.24803e+08;43.4836;0
9.38456e+08;43.423;0
9.52311e+08;43.4025;0
9.66371e+08;43.4177;0
9.80638e+08;43.4153;0
9.95116e+08;43.3654;0
1.00981e+09;43.325;0
1.02472e+09;43.3431;0
1.03984e+09;43.3444;0
1.0552e+09;43.2707;0
1.07078e+09;43.2177;0
1.08658e+09;43.234;0
1.10263e+09;43.2433;0
1.1189e+09;43.1819;0
1.13542e+09;43.1429;0
1.15219e+09;43.1659;0
1.1692e+09;43.1628;0
1.18646e+09;43.0862;0
1.20398e+09;43.0547;0
1.22175e+09;43.0821;0
1.23979e+09;43.0536;0
1.25809e+09;43.0461;0
1.27667e+09;43.0709;0
1.29551e+09;43.0415;0
1.31464e+09;42.98;0
1.33405e+09;42.957;0
1.35375e+09;42.9555;0
1.37373e+09;42.8913;0
1.39401e+09;42.8714;0
1.41459e+09;42.8771;0
1.43548e+09;42.8074;0
1.45667e+09;42.7881;0
1.47818e+09;42.7798;0
1.5e+09;42.7359;0
