"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.689;0
1.01476e+06;-175.696;0
1.02975e+06;-175.703;0
1.04495e+06;-175.71;0
1.06038e+06;-175.718;0
1.07603e+06;-175.725;0
1.09192e+06;-175.732;0
1.10804e+06;-175.74;0
1.1244e+06;-175.748;0
1.141e+06;-175.755;0
1.15784e+06;-175.763;0
1.17494e+06;-175.771;0
1.19228e+06;-175.779;0
1.20988e+06;-175.787;0
1.22775e+06;-175.796;0
1.24587e+06;-175.804;0
1.26427e+06;-175.813;0
1.28293e+06;-175.821;0
1.30187e+06;-175.83;0
1.32109e+06;-175.839;0
1.3406e+06;-175.848;0
1.36039e+06;-175.858;0
1.38047e+06;-175.867;0
1.40085e+06;-175.876;0
1.42154e+06;-175.886;0
1.44252e+06;-175.896;0
1.46382e+06;-175.906;0
1.48543e+06;-175.916;0
1.50736e+06;-175.926;0
1.52962e+06;-175.936;0
1.5522e+06;-175.947;0
1.57512e+06;-175.957;0
1.59837e+06;-175.968;0
1.62197e+06;-175.979;0
1.64591e+06;-175.99;0
1.67021e+06;-176.002;0
1.69487e+06;-176.013;0
1.71989e+06;-176.025;0
1.74529e+06;-176.037;0
1.77105e+06;-176.049;0
1.7972e+06;-176.061;0
1.82373e+06;-176.073;0
1.85066e+06;-176.085;0
1.87798e+06;-176.098;0
1.90571e+06;-176.111;0
1.93384e+06;-176.124;0
1.96239e+06;-176.137;0
1.99137e+06;-176.151;0
2.02076e+06;-176.164;0
2.0506e+06;-176.178;0
2.08087e+06;-176.192;0
2.11159e+06;-176.207;0
2.14277e+06;-176.221;0
2.1744e+06;-176.236;0
2.20651e+06;-176.251;0
2.23908e+06;-176.266;0
2.27214e+06;-176.281;0
2.30569e+06;-176.297;0
2.33973e+06;-176.312;0
2.37427e+06;-176.328;0
2.40932e+06;-176.345;0
2.44489e+06;-176.361;0
2.48099e+06;-176.378;0
2.51762e+06;-176.395;0
2.55479e+06;-176.412;0
2.5925e+06;-176.429;0
2.63078e+06;-176.447;0
2.66962e+06;-176.465;0
2.70903e+06;-176.483;0
2.74903e+06;-176.502;0
2.78961e+06;-176.52;0
2.8308e+06;-176.539;0
2.87259e+06;-176.559;0
2.915e+06;-176.578;0
2.95804e+06;-176.598;0
3.00171e+06;-176.618;0
3.04602e+06;-176.639;0
3.09099e+06;-176.659;0
3.13663e+06;-176.68;0
3.18294e+06;-176.702;0
3.22993e+06;-176.724;0
3.27761e+06;-176.745;0
3.326e+06;-176.768;0
3.37511e+06;-176.79;0
3.42494e+06;-176.813;0
3.4755e+06;-176.837;0
3.52681e+06;-176.86;0
3.57888e+06;-176.884;0
3.63172e+06;-176.908;0
3.68534e+06;-176.933;0
3.73975e+06;-176.958;0
3.79496e+06;-176.983;0
3.85099e+06;-177.009;0
3.90784e+06;-177.035;0
3.96553e+06;-177.062;0
4.02408e+06;-177.089;0
4.08349e+06;-177.116;0
4.14378e+06;-177.144;0
4.20496e+06;-177.172;0
4.26704e+06;-177.2;0
4.33003e+06;-177.229;0
4.39396e+06;-177.258;0
4.45883e+06;-177.288;0
4.52466e+06;-177.318;0
4.59146e+06;-177.349;0
4.65925e+06;-177.38;0
4.72804e+06;-177.411;0
4.79784e+06;-177.443;0
4.86867e+06;-177.475;0
4.94055e+06;-177.508;0
5.01349e+06;-177.541;0
5.08751e+06;-177.575;0
5.16262e+06;-177.609;0
5.23884e+06;-177.644;0
5.31618e+06;-177.679;0
