"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.678;0
1.01476e+06;-175.684;0
1.02975e+06;-175.691;0
1.04495e+06;-175.698;0
1.06038e+06;-175.705;0
1.07603e+06;-175.712;0
1.09192e+06;-175.719;0
1.10804e+06;-175.727;0
1.1244e+06;-175.734;0
1.141e+06;-175.742;0
1.15784e+06;-175.749;0
1.17494e+06;-175.757;0
1.19228e+06;-175.765;0
1.20988e+06;-175.773;0
1.22775e+06;-175.781;0
1.24587e+06;-175.789;0
1.26427e+06;-175.798;0
1.28293e+06;-175.806;0
1.30187e+06;-175.815;0
1.32109e+06;-175.823;0
1.3406e+06;-175.832;0
1.36039e+06;-175.841;0
1.38047e+06;-175.85;0
1.40085e+06;-175.86;0
1.42154e+06;-175.869;0
1.44252e+06;-175.879;0
1.46382e+06;-175.888;0
1.48543e+06;-175.898;0
1.50736e+06;-175.908;0
1.52962e+06;-175.918;0
1.5522e+06;-175.928;0
1.57512e+06;-175.939;0
1.59837e+06;-175.949;0
1.62197e+06;-175.96;0
1.64591e+06;-175.971;0
1.67021e+06;-175.982;0
1.69487e+06;-175.993;0
1.71989e+06;-176.004;0
1.74529e+06;-176.016;0
1.77105e+06;-176.028;0
1.7972e+06;-176.039;0
1.82373e+06;-176.051;0
1.85066e+06;-176.064;0
1.87798e+06;-176.076;0
1.90571e+06;-176.089;0
1.93384e+06;-176.101;0
1.96239e+06;-176.114;0
1.99137e+06;-176.127;0
2.02076e+06;-176.141;0
2.0506e+06;-176.154;0
2.08087e+06;-176.168;0
2.11159e+06;-176.182;0
2.14277e+06;-176.196;0
2.1744e+06;-176.21;0
2.20651e+06;-176.225;0
2.23908e+06;-176.239;0
2.27214e+06;-176.254;0
2.30569e+06;-176.269;0
2.33973e+06;-176.285;0
2.37427e+06;-176.3;0
2.40932e+06;-176.316;0
2.44489e+06;-176.332;0
2.48099e+06;-176.349;0
2.51762e+06;-176.365;0
2.55479e+06;-176.382;0
2.5925e+06;-176.399;0
2.63078e+06;-176.416;0
2.66962e+06;-176.434;0
