"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7454;0
1.01476e+06;40.7472;0
1.02975e+06;40.7491;0
1.04495e+06;40.7511;0
1.06038e+06;40.753;0
1.07603e+06;40.755;0
1.09192e+06;40.757;0
1.10804e+06;40.759;0
1.1244e+06;40.7611;0
1.141e+06;40.7632;0
1.15784e+06;40.7653;0
1.17494e+06;40.7675;0
1.19228e+06;40.7696;0
1.20988e+06;40.7719;0
1.22775e+06;40.7741;0
1.24587e+06;40.7764;0
1.26427e+06;40.7787;0
1.28293e+06;40.7811;0
1.30187e+06;40.7834;0
1.32109e+06;40.7859;0
1.3406e+06;40.7883;0
1.36039e+06;40.7908;0
1.38047e+06;40.7933;0
1.40085e+06;40.7959;0
1.42154e+06;40.7985;0
1.44252e+06;40.8011;0
1.46382e+06;40.8038;0
1.48543e+06;40.8065;0
1.50736e+06;40.8092;0
1.52962e+06;40.812;0
1.5522e+06;40.8149;0
1.57512e+06;40.8177;0
1.59837e+06;40.8206;0
1.62197e+06;40.8236;0
1.64591e+06;40.8266;0
1.67021e+06;40.8296;0
1.69487e+06;40.8327;0
1.71989e+06;40.8359;0
1.74529e+06;40.839;0
1.77105e+06;40.8422;0
1.7972e+06;40.8455;0
1.82373e+06;40.8488;0
1.85066e+06;40.8522;0
1.87798e+06;40.8556;0
1.90571e+06;40.859;0
1.93384e+06;40.8625;0
1.96239e+06;40.8661;0
1.99137e+06;40.8697;0
2.02076e+06;40.8734;0
2.0506e+06;40.8771;0
2.08087e+06;40.8808;0
2.11159e+06;40.8847;0
2.14277e+06;40.8885;0
2.1744e+06;40.8925;0
2.20651e+06;40.8964;0
2.23908e+06;40.9005;0
2.27214e+06;40.9046;0
2.30569e+06;40.9087;0
2.33973e+06;40.9129;0
2.37427e+06;40.9172;0
2.40932e+06;40.9216;0
2.44489e+06;40.926;0
2.48099e+06;40.9304;0
2.51762e+06;40.9349;0
2.55479e+06;40.9395;0
2.5925e+06;40.9442;0
2.63078e+06;40.9489;0
2.66962e+06;40.9537;0
2.70903e+06;40.9585;0
2.74903e+06;40.9635;0
2.78961e+06;40.9684;0
2.8308e+06;40.9735;0
2.87259e+06;40.9786;0
2.915e+06;40.9838;0
2.95804e+06;40.9891;0
3.00171e+06;40.9945;0
3.04602e+06;40.9999;0
3.09099e+06;41.0054;0
3.13663e+06;41.011;0
3.18294e+06;41.0167;0
3.22993e+06;41.0224;0
