"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.688;0
1.01476e+06;-175.694;0
1.02975e+06;-175.701;0
1.04495e+06;-175.709;0
1.06038e+06;-175.716;0
1.07603e+06;-175.723;0
1.09192e+06;-175.73;0
1.10804e+06;-175.738;0
1.1244e+06;-175.745;0
1.141e+06;-175.753;0
1.15784e+06;-175.761;0
1.17494e+06;-175.769;0
1.19228e+06;-175.777;0
1.20988e+06;-175.785;0
1.22775e+06;-175.793;0
1.24587e+06;-175.802;0
1.26427e+06;-175.81;0
1.28293e+06;-175.819;0
1.30187e+06;-175.828;0
1.32109e+06;-175.837;0
1.3406e+06;-175.846;0
1.36039e+06;-175.855;0
1.38047e+06;-175.864;0
1.40085e+06;-175.874;0
1.42154e+06;-175.883;0
1.44252e+06;-175.893;0
1.46382e+06;-175.903;0
1.48543e+06;-175.913;0
1.50736e+06;-175.923;0
1.52962e+06;-175.933;0
1.5522e+06;-175.944;0
1.57512e+06;-175.954;0
1.59837e+06;-175.965;0
1.62197e+06;-175.976;0
1.64591e+06;-175.987;0
1.67021e+06;-175.999;0
1.69487e+06;-176.01;0
1.71989e+06;-176.022;0
1.74529e+06;-176.033;0
1.77105e+06;-176.045;0
1.7972e+06;-176.057;0
1.82373e+06;-176.07;0
1.85066e+06;-176.082;0
1.87798e+06;-176.095;0
1.90571e+06;-176.108;0
1.93384e+06;-176.121;0
1.96239e+06;-176.134;0
1.99137e+06;-176.147;0
2.02076e+06;-176.161;0
2.0506e+06;-176.174;0
2.08087e+06;-176.188;0
2.11159e+06;-176.203;0
2.14277e+06;-176.217;0
2.1744e+06;-176.232;0
2.20651e+06;-176.246;0
2.23908e+06;-176.262;0
2.27214e+06;-176.277;0
2.30569e+06;-176.292;0
2.33973e+06;-176.308;0
2.37427e+06;-176.324;0
2.40932e+06;-176.34;0
2.44489e+06;-176.356;0
2.48099e+06;-176.373;0
2.51762e+06;-176.39;0
2.55479e+06;-176.407;0
2.5925e+06;-176.424;0
2.63078e+06;-176.442;0
2.66962e+06;-176.46;0
2.70903e+06;-176.478;0
2.74903e+06;-176.497;0
2.78961e+06;-176.515;0
2.8308e+06;-176.534;0
2.87259e+06;-176.553;0
2.915e+06;-176.573;0
2.95804e+06;-176.593;0
3.00171e+06;-176.613;0
3.04602e+06;-176.633;0
3.09099e+06;-176.654;0
3.13663e+06;-176.675;0
3.18294e+06;-176.696;0
3.22993e+06;-176.718;0
3.27761e+06;-176.739;0
3.326e+06;-176.762;0
3.37511e+06;-176.784;0
3.42494e+06;-176.807;0
3.4755e+06;-176.83;0
3.52681e+06;-176.854;0
3.57888e+06;-176.878;0
3.63172e+06;-176.902;0
3.68534e+06;-176.926;0
3.73975e+06;-176.951;0
3.79496e+06;-176.977;0
3.85099e+06;-177.002;0
3.90784e+06;-177.028;0
3.96553e+06;-177.055;0
4.02408e+06;-177.081;0
4.08349e+06;-177.109;0
4.14378e+06;-177.136;0
4.20496e+06;-177.164;0
4.26704e+06;-177.192;0
4.33003e+06;-177.221;0
4.39396e+06;-177.25;0
4.45883e+06;-177.28;0
4.52466e+06;-177.31;0
4.59146e+06;-177.34;0
4.65925e+06;-177.371;0
4.72804e+06;-177.403;0
4.79784e+06;-177.434;0
4.86867e+06;-177.467;0
4.94055e+06;-177.499;0
5.01349e+06;-177.532;0
5.08751e+06;-177.566;0
5.16262e+06;-177.6;0
5.23884e+06;-177.635;0
5.31618e+06;-177.67;0
5.39467e+06;-177.706;0
5.47432e+06;-177.742;0
5.55514e+06;-177.778;0
5.63715e+06;-177.816;0
5.72038e+06;-177.853;0
5.80483e+06;-177.892;0
5.89053e+06;-177.93;0
5.9775e+06;-177.97;0
6.06575e+06;-178.01;0
6.1553e+06;-178.05;0
6.24617e+06;-178.091;0
6.33839e+06;-178.133;0
6.43197e+06;-178.175;0
6.52693e+06;-178.218;0
6.62329e+06;-178.262;0
6.72107e+06;-178.306;0
6.8203e+06;-178.35;0
6.92099e+06;-178.396;0
7.02317e+06;-178.442;0
7.12686e+06;-178.488;0
7.23208e+06;-178.536;0
7.33885e+06;-178.584;0
7.4472e+06;-178.632;0
7.55715e+06;-178.682;0
7.66872e+06;-178.732;0
7.78194e+06;-178.783;0
7.89683e+06;-178.834;0
8.01341e+06;-178.887;0
8.13172e+06;-178.94;0
8.25177e+06;-178.993;0
8.3736e+06;-179.048;0
8.49723e+06;-179.103;0
8.62268e+06;-179.159;0
8.74998e+06;-179.216;0
8.87916e+06;-179.274;0
9.01025e+06;-179.333;0
9.14327e+06;-179.392;0
9.27826e+06;-179.452;0
9.41524e+06;-179.513;0
9.55425e+06;-179.575;0
9.6953e+06;-179.638;0
9.83844e+06;-179.702;0
9.98369e+06;-179.766;0
1.01311e+07;-179.832;0
1.02807e+07;-179.898;0
1.04324e+07;-179.966;0
1.05865e+07;-180.034;0
1.07428e+07;-180.103;0
1.09014e+07;-180.174;0
1.10623e+07;-180.245;0
1.12256e+07;-180.317;0
1.13914e+07;-180.391;0
1.15595e+07;-180.465;0
1.17302e+07;-180.541;0
1.19034e+07;-180.617;0
1.20791e+07;-180.695;0
1.22574e+07;-180.773;0
1.24384e+07;-180.853;0
1.2622e+07;-180.934;0
1.28084e+07;-181.016;0
1.29975e+07;-181.1;0
1.31894e+07;-181.184;0
1.33841e+07;-181.27;0
1.35817e+07;-181.357;0
1.37822e+07;-181.445;0
1.39857e+07;-181.534;0
1.41922e+07;-181.625;0
1.44017e+07;-181.717;0
1.46143e+07;-181.81;0
1.48301e+07;-181.905;0
1.5049e+07;-182.001;0
1.52712e+07;-182.098;0
1.54967e+07;-182.197;0
1.57255e+07;-182.297;0
1.59576e+07;-182.399;0
1.61932e+07;-182.502;0
1.64323e+07;-182.606;0
1.66749e+07;-182.712;0
1.69211e+07;-182.82;0
1.71709e+07;-182.929;0
1.74244e+07;-183.04;0
1.76817e+07;-183.152;0
1.79427e+07;-183.266;0
1.82076e+07;-183.382;0
1.84764e+07;-183.499;0
1.87492e+07;-183.618;0
1.9026e+07;-183.739;0
1.93069e+07;-183.861;0
1.95919e+07;-183.986;0
1.98812e+07;-184.112;0
2.01747e+07;-184.179;0
2.04726e+07;-184.205;0
2.07748e+07;-184.231;0
2.10815e+07;-184.258;0
2.13928e+07;-184.285;0
2.17086e+07;-184.313;0
2.20291e+07;-184.34;0
2.23543e+07;-184.369;0
2.26843e+07;-184.397;0
2.30193e+07;-184.426;0
2.33591e+07;-184.455;0
2.3704e+07;-184.485;0
2.40539e+07;-184.515;0
2.44091e+07;-184.546;0
2.47694e+07;-184.577;0
2.51351e+07;-184.608;0
2.55062e+07;-184.64;0
2.58828e+07;-184.673;0
2.62649e+07;-184.706;0
2.66526e+07;-184.739;0
2.70461e+07;-184.773;0
2.74454e+07;-184.808;0
2.78506e+07;-184.843;0
2.82618e+07;-184.878;0
2.86791e+07;-184.914;0
2.91025e+07;-184.951;0
2.95321e+07;-184.988;0
2.99681e+07;-185.026;0
3.04106e+07;-185.072;0
3.08595e+07;-185.119;0
3.13151e+07;-185.167;0
3.17775e+07;-185.216;0
3.22466e+07;-185.265;0
3.27227e+07;-185.315;0
3.32058e+07;-185.366;0
3.3696e+07;-185.418;0
3.41935e+07;-185.471;0
3.46983e+07;-185.524;0
3.52106e+07;-185.578;0
3.57305e+07;-185.634;0
3.6258e+07;-185.69;0
3.67933e+07;-185.747;0
3.73365e+07;-185.805;0
3.78877e+07;-185.864;0
3.84471e+07;-185.924;0
3.90147e+07;-185.985;0
3.95907e+07;-186.047;0
