"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7451;0
1.01476e+06;40.747;0
1.02975e+06;40.7489;0
1.04495e+06;40.7508;0
1.06038e+06;40.7527;0
1.07603e+06;40.7547;0
1.09192e+06;40.7567;0
1.10804e+06;40.7587;0
1.1244e+06;40.7608;0
1.141e+06;40.7629;0
1.15784e+06;40.765;0
1.17494e+06;40.7672;0
1.19228e+06;40.7693;0
1.20988e+06;40.7716;0
1.22775e+06;40.7738;0
1.24587e+06;40.7761;0
1.26427e+06;40.7784;0
1.28293e+06;40.7807;0
1.30187e+06;40.7831;0
1.32109e+06;40.7855;0
1.3406e+06;40.788;0
1.36039e+06;40.7904;0
1.38047e+06;40.793;0
1.40085e+06;40.7955;0
1.42154e+06;40.7981;0
1.44252e+06;40.8007;0
1.46382e+06;40.8034;0
1.48543e+06;40.8061;0
1.50736e+06;40.8089;0
1.52962e+06;40.8116;0
1.5522e+06;40.8145;0
1.57512e+06;40.8173;0
1.59837e+06;40.8202;0
1.62197e+06;40.8232;0
1.64591e+06;40.8262;0
1.67021e+06;40.8292;0
1.69487e+06;40.8323;0
1.71989e+06;40.8354;0
1.74529e+06;40.8386;0
1.77105e+06;40.8418;0
1.7972e+06;40.845;0
1.82373e+06;40.8483;0
1.85066e+06;40.8517;0
1.87798e+06;40.8551;0
1.90571e+06;40.8585;0
1.93384e+06;40.862;0
1.96239e+06;40.8656;0
1.99137e+06;40.8692;0
2.02076e+06;40.8728;0
2.0506e+06;40.8765;0
2.08087e+06;40.8803;0
2.11159e+06;40.8841;0
2.14277e+06;40.888;0
2.1744e+06;40.8919;0
2.20651e+06;40.8959;0
2.23908e+06;40.8999;0
2.27214e+06;40.904;0
2.30569e+06;40.9081;0
2.33973e+06;40.9123;0
2.37427e+06;40.9166;0
2.40932e+06;40.9209;0
2.44489e+06;40.9253;0
2.48099e+06;40.9298;0
2.51762e+06;40.9343;0
2.55479e+06;40.9389;0
2.5925e+06;40.9435;0
2.63078e+06;40.9482;0
2.66962e+06;40.953;0
2.70903e+06;40.9578;0
2.74903e+06;40.9627;0
2.78961e+06;40.9677;0
2.8308e+06;40.9728;0
2.87259e+06;40.9779;0
2.915e+06;40.9831;0
2.95804e+06;40.9884;0
3.00171e+06;40.9937;0
3.04602e+06;40.9991;0
3.09099e+06;41.0046;0
3.13663e+06;41.0102;0
3.18294e+06;41.0158;0
3.22993e+06;41.0216;0
3.27761e+06;41.0274;0
3.326e+06;41.0333;0
3.37511e+06;41.0392;0
3.42494e+06;41.0453;0
3.4755e+06;41.0514;0
3.52681e+06;41.0577;0
3.57888e+06;41.064;0
3.63172e+06;41.0704;0
3.68534e+06;41.0769;0
3.73975e+06;41.0835;0
3.79496e+06;41.0901;0
3.85099e+06;41.0969;0
3.90784e+06;41.1038;0
3.96553e+06;41.1107;0
4.02408e+06;41.1178;0
4.08349e+06;41.1249;0
4.14378e+06;41.1322;0
4.20496e+06;41.1395;0
4.26704e+06;41.147;0
4.33003e+06;41.1546;0
4.39396e+06;41.1622;0
4.45883e+06;41.17;0
4.52466e+06;41.1779;0
4.59146e+06;41.1859;0
4.65925e+06;41.194;0
4.72804e+06;41.2022;0
4.79784e+06;41.2105;0
4.86867e+06;41.2189;0
4.94055e+06;41.2275;0
5.01349e+06;41.2361;0
5.08751e+06;41.2449;0
5.16262e+06;41.2538;0
5.23884e+06;41.2629;0
5.31618e+06;41.272;0
5.39467e+06;41.2813;0
5.47432e+06;41.2907;0
5.55514e+06;41.3002;0
5.63715e+06;41.3099;0
