"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.695;0
1.01476e+06;-175.702;0
1.02975e+06;-175.71;0
1.04495e+06;-175.717;0
1.06038e+06;-175.724;0
1.07603e+06;-175.731;0
1.09192e+06;-175.739;0
1.10804e+06;-175.747;0
1.1244e+06;-175.754;0
1.141e+06;-175.762;0
1.15784e+06;-175.77;0
1.17494e+06;-175.778;0
1.19228e+06;-175.786;0
1.20988e+06;-175.795;0
1.22775e+06;-175.803;0
1.24587e+06;-175.812;0
1.26427e+06;-175.82;0
1.28293e+06;-175.829;0
1.30187e+06;-175.838;0
1.32109e+06;-175.847;0
1.3406e+06;-175.856;0
1.36039e+06;-175.866;0
1.38047e+06;-175.875;0
1.40085e+06;-175.885;0
1.42154e+06;-175.894;0
1.44252e+06;-175.904;0
1.46382e+06;-175.914;0
1.48543e+06;-175.925;0
1.50736e+06;-175.935;0
1.52962e+06;-175.945;0
1.5522e+06;-175.956;0
1.57512e+06;-175.967;0
1.59837e+06;-175.978;0
1.62197e+06;-175.989;0
1.64591e+06;-176;0
1.67021e+06;-176.012;0
1.69487e+06;-176.023;0
1.71989e+06;-176.035;0
1.74529e+06;-176.047;0
1.77105e+06;-176.059;0
1.7972e+06;-176.071;0
1.82373e+06;-176.084;0
1.85066e+06;-176.096;0
1.87798e+06;-176.109;0
1.90571e+06;-176.122;0
1.93384e+06;-176.136;0
1.96239e+06;-176.149;0
1.99137e+06;-176.163;0
2.02076e+06;-176.176;0
2.0506e+06;-176.19;0
2.08087e+06;-176.205;0
2.11159e+06;-176.219;0
2.14277e+06;-176.234;0
2.1744e+06;-176.248;0
2.20651e+06;-176.264;0
2.23908e+06;-176.279;0
2.27214e+06;-176.294;0
2.30569e+06;-176.31;0
2.33973e+06;-176.326;0
2.37427e+06;-176.342;0
2.40932e+06;-176.359;0
2.44489e+06;-176.375;0
2.48099e+06;-176.392;0
2.51762e+06;-176.409;0
2.55479e+06;-176.427;0
2.5925e+06;-176.444;0
2.63078e+06;-176.462;0
2.66962e+06;-176.481;0
2.70903e+06;-176.499;0
2.74903e+06;-176.518;0
2.78961e+06;-176.537;0
2.8308e+06;-176.556;0
2.87259e+06;-176.575;0
2.915e+06;-176.595;0
2.95804e+06;-176.615;0
3.00171e+06;-176.636;0
3.04602e+06;-176.656;0
3.09099e+06;-176.677;0
3.13663e+06;-176.699;0
3.18294e+06;-176.72;0
3.22993e+06;-176.742;0
3.27761e+06;-176.765;0
3.326e+06;-176.787;0
3.37511e+06;-176.81;0
3.42494e+06;-176.833;0
3.4755e+06;-176.857;0
3.52681e+06;-176.881;0
3.57888e+06;-176.905;0
3.63172e+06;-176.929;0
3.68534e+06;-176.954;0
3.73975e+06;-176.98;0
3.79496e+06;-177.005;0
3.85099e+06;-177.031;0
3.90784e+06;-177.058;0
3.96553e+06;-177.085;0
4.02408e+06;-177.112;0
4.08349e+06;-177.139;0
4.14378e+06;-177.167;0
4.20496e+06;-177.196;0
4.26704e+06;-177.225;0
4.33003e+06;-177.254;0
4.39396e+06;-177.283;0
4.45883e+06;-177.313;0
4.52466e+06;-177.344;0
4.59146e+06;-177.375;0
4.65925e+06;-177.406;0
4.72804e+06;-177.438;0
4.79784e+06;-177.47;0
4.86867e+06;-177.503;0
4.94055e+06;-177.536;0
5.01349e+06;-177.57;0
5.08751e+06;-177.604;0
5.16262e+06;-177.639;0
5.23884e+06;-177.674;0
5.31618e+06;-177.71;0
5.39467e+06;-177.746;0
5.47432e+06;-177.782;0
5.55514e+06;-177.82;0
5.63715e+06;-177.857;0
5.72038e+06;-177.896;0
5.80483e+06;-177.934;0
5.89053e+06;-177.974;0
5.9775e+06;-178.014;0
6.06575e+06;-178.054;0
6.1553e+06;-178.095;0
6.24617e+06;-178.137;0
6.33839e+06;-178.179;0
6.43197e+06;-178.222;0
6.52693e+06;-178.266;0
6.62329e+06;-178.31;0
6.72107e+06;-178.355;0
6.8203e+06;-178.4;0
6.92099e+06;-178.446;0
7.02317e+06;-178.493;0
7.12686e+06;-178.54;0
7.23208e+06;-178.588;0
7.33885e+06;-178.637;0
7.4472e+06;-178.687;0
7.55715e+06;-178.737;0
7.66872e+06;-178.787;0
7.78194e+06;-178.839;0
7.89683e+06;-178.891;0
8.01341e+06;-178.944;0
8.13172e+06;-178.998;0
8.25177e+06;-179.053;0
8.3736e+06;-179.108;0
8.49723e+06;-179.164;0
8.62268e+06;-179.221;0
8.74998e+06;-179.279;0
8.87916e+06;-179.337;0
9.01025e+06;-179.397;0
9.14327e+06;-179.457;0
9.27826e+06;-179.518;0
9.41524e+06;-179.58;0
9.55425e+06;-179.643;0
9.6953e+06;-179.706;0
9.83844e+06;-179.771;0
9.98369e+06;-179.837;0
1.01311e+07;-179.903;0
1.02807e+07;-179.97;0
1.04324e+07;-180.039;0
1.05865e+07;-180.108;0
1.07428e+07;-180.178;0
1.09014e+07;-180.25;0
1.10623e+07;-180.322;0
1.12256e+07;-180.395;0
1.13914e+07;-180.47;0
1.15595e+07;-180.545;0
1.17302e+07;-180.622;0
1.19034e+07;-180.699;0
1.20791e+07;-180.778;0
1.22574e+07;-180.858;0
1.24384e+07;-180.939;0
1.2622e+07;-181.021;0
1.28084e+07;-181.104;0
1.29975e+07;-181.188;0
1.31894e+07;-181.274;0
1.33841e+07;-181.361;0
1.35817e+07;-181.449;0
1.37822e+07;-181.538;0
1.39857e+07;-181.629;0
1.41922e+07;-181.721;0
1.44017e+07;-181.814;0
1.46143e+07;-181.908;0
1.48301e+07;-182.004;0
1.5049e+07;-182.102;0
1.52712e+07;-182.2;0
1.54967e+07;-182.3;0
1.57255e+07;-182.402;0
1.59576e+07;-182.505;0
1.61932e+07;-182.609;0
1.64323e+07;-182.715;0
1.66749e+07;-182.823;0
1.69211e+07;-182.932;0
1.71709e+07;-183.042;0
1.74244e+07;-183.154;0
1.76817e+07;-183.268;0
1.79427e+07;-183.384;0
1.82076e+07;-183.501;0
1.84764e+07;-183.62;0
1.87492e+07;-183.74;0
1.9026e+07;-183.863;0
1.93069e+07;-183.987;0
1.95919e+07;-184.113;0
1.98812e+07;-184.241;0
2.01747e+07;-184.309;0
2.04726e+07;-184.337;0
2.07748e+07;-184.365;0
2.10815e+07;-184.394;0
2.13928e+07;-184.423;0
2.17086e+07;-184.452;0
2.20291e+07;-184.481;0
2.23543e+07;-184.511;0
2.26843e+07;-184.542;0
2.30193e+07;-184.573;0
2.33591e+07;-184.604;0
2.3704e+07;-184.636;0
2.40539e+07;-184.668;0
2.44091e+07;-184.701;0
2.47694e+07;-184.734;0
2.51351e+07;-184.767;0
2.55062e+07;-184.802;0
2.58828e+07;-184.836;0
2.62649e+07;-184.871;0
2.66526e+07;-184.907;0
2.70461e+07;-184.943;0
2.74454e+07;-184.98;0
2.78506e+07;-185.017;0
2.82618e+07;-185.055;0
2.86791e+07;-185.094;0
2.91025e+07;-185.133;0
2.95321e+07;-185.173;0
2.99681e+07;-185.213;0
3.04106e+07;-185.262;0
3.08595e+07;-185.312;0
3.13151e+07;-185.362;0
3.17775e+07;-185.414;0
3.22466e+07;-185.466;0
3.27227e+07;-185.519;0
3.32058e+07;-185.573;0
3.3696e+07;-185.628;0
3.41935e+07;-185.684;0
3.46983e+07;-185.74;0
3.52106e+07;-185.798;0
3.57305e+07;-185.856;0
3.6258e+07;-185.916;0
3.67933e+07;-185.976;0
3.73365e+07;-186.037;0
3.78877e+07;-186.1;0
3.84471e+07;-186.164;0
3.90147e+07;-186.228;0
3.95907e+07;-186.294;0
4.01752e+07;-186.386;0
4.07683e+07;-186.539;0
4.13702e+07;-186.694;0
4.1981e+07;-186.852;0
4.26008e+07;-187.012;0
4.32297e+07;-187.174;0
4.3868e+07;-187.339;0
4.45156e+07;-187.507;0
4.51728e+07;-187.678;0
4.58397e+07;-187.851;0
4.65165e+07;-188.027;0
4.72033e+07;-188.206;0
4.79001e+07;-188.388;0
4.86073e+07;-188.572;0
4.9325e+07;-188.76;0
5.00532e+07;-188.944;0
5.07921e+07;-189.038;0
5.1542e+07;-189.134;0
5.2303e+07;-189.231;0
5.30752e+07;-189.33;0
5.38587e+07;-189.431;0
5.46539e+07;-189.534;0
5.54608e+07;-189.639;0
5.62796e+07;-189.746;0
5.71105e+07;-189.854;0
5.79536e+07;-189.965;0
5.88092e+07;-190.077;0
5.96775e+07;-190.192;0
6.05585e+07;-190.309;0
6.14526e+07;-190.429;0
6.23599e+07;-190.551;0
6.32805e+07;-190.675;0
6.42148e+07;-190.802;0
6.51628e+07;-190.93;0
6.61249e+07;-191.062;0
6.71011e+07;-191.195;0
6.80918e+07;-191.331;0
6.90971e+07;-191.47;0
7.01172e+07;-191.615;0
7.11524e+07;-191.792;0
7.22029e+07;-191.972;0
7.32688e+07;-192.156;0
7.43506e+07;-192.343;0
7.54482e+07;-192.533;0
7.65621e+07;-192.727;0
7.76925e+07;-192.924;0
7.88395e+07;-193.126;0
8.00035e+07;-193.331;0
8.11846e+07;-193.495;0
8.23832e+07;-193.662;0
8.35995e+07;-193.832;0
8.48337e+07;-194.006;0
8.60862e+07;-194.184;0
8.73571e+07;-194.366;0
8.86468e+07;-194.552;0
8.99556e+07;-194.742;0
9.12837e+07;-194.954;0
9.26313e+07;-195.172;0
9.39989e+07;-195.395;0
9.53867e+07;-195.622;0
9.67949e+07;-195.855;0
9.8224e+07;-196.094;0
9.96741e+07;-196.337;0
1.01146e+08;-196.62;0
1.02639e+08;-196.919;0
1.04154e+08;-197.225;0
1.05692e+08;-197.538;0
1.07252e+08;-197.859;0
1.08836e+08;-198.186;0
1.10443e+08;-198.512;0
1.12073e+08;-198.817;0
1.13728e+08;-199.13;0
1.15407e+08;-199.451;0
1.17111e+08;-199.78;0
1.1884e+08;-200.118;0
1.20594e+08;-200.457;0
1.22375e+08;-200.786;0
1.24181e+08;-201.124;0
1.26015e+08;-201.472;0
1.27875e+08;-201.831;0
1.29763e+08;-202.201;0
1.31679e+08;-202.628;0
1.33623e+08;-203.074;0
1.35596e+08;-203.533;0
1.37598e+08;-204.007;0
1.39629e+08;-204.495;0
1.4169e+08;-204.954;0
1.43782e+08;-205.418;0
1.45905e+08;-205.899;0
1.48059e+08;-206.396;0
1.50245e+08;-206.912;0
1.52463e+08;-207.444;0
1.54714e+08;-207.997;0
1.56998e+08;-208.571;0
1.59316e+08;-209.169;0
1.61668e+08;-209.859;0
1.64055e+08;-210.605;0
1.66477e+08;-211.379;0
1.68935e+08;-212.184;0
1.71429e+08;-212.992;0
1.7396e+08;-213.812;0
1.76528e+08;-214.667;0
1.79134e+08;-215.561;0
1.81779e+08;-216.49;0
1.84463e+08;-217.459;0
1.87186e+08;-218.472;0
1.8995e+08;-219.531;0
1.92754e+08;-220.672;0
1.956e+08;-221.862;0
1.98488e+08;-223.1;0
2.01418e+08;-224.358;0
2.04392e+08;-225.628;0
2.07409e+08;-226.933;0
2.10471e+08;-228.252;0
2.13579e+08;-229.539;0
2.16732e+08;-230.79;0
2.19932e+08;-231.954;0
2.23179e+08;-233.029;0
2.26474e+08;-233.805;0
2.29817e+08;-234.07;0
