"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7453;0
1.01476e+06;40.7471;0
1.02975e+06;40.749;0
1.04495e+06;40.7509;0
1.06038e+06;40.7529;0
1.07603e+06;40.7548;0
1.09192e+06;40.7569;0
1.10804e+06;40.7589;0
1.1244e+06;40.7609;0
1.141e+06;40.763;0
1.15784e+06;40.7652;0
1.17494e+06;40.7673;0
1.19228e+06;40.7695;0
1.20988e+06;40.7717;0
1.22775e+06;40.774;0
1.24587e+06;40.7762;0
1.26427e+06;40.7785;0
1.28293e+06;40.7809;0
1.30187e+06;40.7833;0
1.32109e+06;40.7857;0
1.3406e+06;40.7881;0
1.36039e+06;40.7906;0
1.38047e+06;40.7931;0
1.40085e+06;40.7957;0
1.42154e+06;40.7983;0
1.44252e+06;40.8009;0
1.46382e+06;40.8036;0
1.48543e+06;40.8063;0
1.50736e+06;40.8091;0
1.52962e+06;40.8118;0
1.5522e+06;40.8147;0
1.57512e+06;40.8175;0
1.59837e+06;40.8204;0
1.62197e+06;40.8234;0
1.64591e+06;40.8264;0
1.67021e+06;40.8294;0
1.69487e+06;40.8325;0
1.71989e+06;40.8356;0
1.74529e+06;40.8388;0
1.77105e+06;40.842;0
1.7972e+06;40.8453;0
1.82373e+06;40.8486;0
1.85066e+06;40.8519;0
1.87798e+06;40.8553;0
1.90571e+06;40.8588;0
1.93384e+06;40.8623;0
1.96239e+06;40.8658;0
1.99137e+06;40.8695;0
2.02076e+06;40.8731;0
2.0506e+06;40.8768;0
2.08087e+06;40.8806;0
2.11159e+06;40.8844;0
2.14277e+06;40.8883;0
2.1744e+06;40.8922;0
2.20651e+06;40.8962;0
2.23908e+06;40.9002;0
2.27214e+06;40.9043;0
2.30569e+06;40.9084;0
2.33973e+06;40.9126;0
2.37427e+06;40.9169;0
2.40932e+06;40.9212;0
2.44489e+06;40.9256;0
2.48099e+06;40.9301;0
2.51762e+06;40.9346;0
2.55479e+06;40.9392;0
2.5925e+06;40.9438;0
2.63078e+06;40.9486;0
2.66962e+06;40.9533;0
2.70903e+06;40.9582;0
2.74903e+06;40.9631;0
2.78961e+06;40.9681;0
2.8308e+06;40.9731;0
2.87259e+06;40.9783;0
2.915e+06;40.9835;0
2.95804e+06;40.9887;0
3.00171e+06;40.9941;0
3.04602e+06;40.9995;0
3.09099e+06;41.005;0
3.13663e+06;41.0106;0
3.18294e+06;41.0163;0
3.22993e+06;41.022;0
3.27761e+06;41.0278;0
3.326e+06;41.0337;0
3.37511e+06;41.0397;0
3.42494e+06;41.0458;0
3.4755e+06;41.0519;0
3.52681e+06;41.0581;0
3.57888e+06;41.0645;0
3.63172e+06;41.0709;0
3.68534e+06;41.0774;0
3.73975e+06;41.084;0
3.79496e+06;41.0906;0
3.85099e+06;41.0974;0
3.90784e+06;41.1043;0
3.96553e+06;41.1113;0
4.02408e+06;41.1183;0
4.08349e+06;41.1255;0
4.14378e+06;41.1328;0
4.20496e+06;41.1401;0
4.26704e+06;41.1476;0
4.33003e+06;41.1551;0
4.39396e+06;41.1628;0
4.45883e+06;41.1706;0
4.52466e+06;41.1785;0
4.59146e+06;41.1865;0
4.65925e+06;41.1946;0
4.72804e+06;41.2028;0
4.79784e+06;41.2111;0
4.86867e+06;41.2196;0
4.94055e+06;41.2281;0
5.01349e+06;41.2368;0
5.08751e+06;41.2456;0
5.16262e+06;41.2545;0
5.23884e+06;41.2636;0
5.31618e+06;41.2727;0
5.39467e+06;41.282;0
5.47432e+06;41.2915;0
5.55514e+06;41.301;0
5.63715e+06;41.3107;0
5.72038e+06;41.3205;0
5.80483e+06;41.3304;0
5.89053e+06;41.3405;0
5.9775e+06;41.3507;0
6.06575e+06;41.3611;0
6.1553e+06;41.3715;0
6.24617e+06;41.3822;0
6.33839e+06;41.393;0
6.43197e+06;41.4039;0
