"frequency";"r S21_dB";"i S21_dB"
1e+06;40.7445;0
1.01476e+06;40.7464;0
1.02975e+06;40.7483;0
1.04495e+06;40.7502;0
1.06038e+06;40.7521;0
1.07603e+06;40.7541;0
1.09192e+06;40.7561;0
1.10804e+06;40.7581;0
1.1244e+06;40.7601;0
1.141e+06;40.7622;0
1.15784e+06;40.7643;0
1.17494e+06;40.7665;0
1.19228e+06;40.7686;0
1.20988e+06;40.7708;0
1.22775e+06;40.7731;0
1.24587e+06;40.7754;0
1.26427e+06;40.7777;0
1.28293e+06;40.78;0
1.30187e+06;40.7823;0
1.32109e+06;40.7848;0
1.3406e+06;40.7872;0
1.36039e+06;40.7897;0
1.38047e+06;40.7922;0
1.40085e+06;40.7947;0
1.42154e+06;40.7973;0
1.44252e+06;40.7999;0
1.46382e+06;40.8026;0
1.48543e+06;40.8052;0
1.50736e+06;40.808;0
1.52962e+06;40.8108;0
1.5522e+06;40.8136;0
1.57512e+06;40.8164;0
1.59837e+06;40.8193;0
1.62197e+06;40.8222;0
1.64591e+06;40.8252;0
1.67021e+06;40.8282;0
1.69487e+06;40.8313;0
1.71989e+06;40.8344;0
1.74529e+06;40.8376;0
1.77105e+06;40.8407;0
1.7972e+06;40.844;0
1.82373e+06;40.8473;0
1.85066e+06;40.8506;0
1.87798e+06;40.854;0
1.90571e+06;40.8574;0
1.93384e+06;40.8609;0
1.96239e+06;40.8644;0
1.99137e+06;40.868;0
2.02076e+06;40.8717;0
2.0506e+06;40.8753;0
2.08087e+06;40.8791;0
2.11159e+06;40.8829;0
2.14277e+06;40.8867;0
2.1744e+06;40.8906;0
2.20651e+06;40.8946;0
2.23908e+06;40.8986;0
2.27214e+06;40.9026;0
2.30569e+06;40.9068;0
2.33973e+06;40.911;0
2.37427e+06;40.9152;0
2.40932e+06;40.9195;0
2.44489e+06;40.9239;0
2.48099e+06;40.9283;0
2.51762e+06;40.9328;0
2.55479e+06;40.9374;0
2.5925e+06;40.942;0
2.63078e+06;40.9467;0
2.66962e+06;40.9514;0
2.70903e+06;40.9562;0
2.74903e+06;40.9611;0
2.78961e+06;40.9661;0
2.8308e+06;40.9711;0
2.87259e+06;40.9762;0
2.915e+06;40.9814;0
2.95804e+06;40.9866;0
3.00171e+06;40.9919;0
3.04602e+06;40.9973;0
3.09099e+06;41.0028;0
3.13663e+06;41.0083;0
3.18294e+06;41.014;0
3.22993e+06;41.0197;0
3.27761e+06;41.0254;0
3.326e+06;41.0313;0
3.37511e+06;41.0372;0
3.42494e+06;41.0433;0
3.4755e+06;41.0494;0
3.52681e+06;41.0556;0
3.57888e+06;41.0619;0
3.63172e+06;41.0682;0
3.68534e+06;41.0747;0
3.73975e+06;41.0813;0
3.79496e+06;41.0879;0
3.85099e+06;41.0946;0
3.90784e+06;41.1015;0
3.96553e+06;41.1084;0
4.02408e+06;41.1154;0
4.08349e+06;41.1225;0
4.14378e+06;41.1297;0
4.20496e+06;41.1371;0
4.26704e+06;41.1445;0
4.33003e+06;41.152;0
4.39396e+06;41.1596;0
4.45883e+06;41.1674;0
4.52466e+06;41.1752;0
4.59146e+06;41.1831;0
4.65925e+06;41.1912;0
4.72804e+06;41.1994;0
4.79784e+06;41.2076;0
4.86867e+06;41.216;0
4.94055e+06;41.2246;0
5.01349e+06;41.2332;0
5.08751e+06;41.2419;0
5.16262e+06;41.2508;0
5.23884e+06;41.2598;0
5.31618e+06;41.2689;0
5.39467e+06;41.2781;0
5.47432e+06;41.2875;0
5.55514e+06;41.297;0
5.63715e+06;41.3066;0
5.72038e+06;41.3163;0
5.80483e+06;41.3262;0
5.89053e+06;41.3362;0
5.9775e+06;41.3464;0
6.06575e+06;41.3567;0
6.1553e+06;41.3671;0
6.24617e+06;41.3776;0
6.33839e+06;41.3884;0
6.43197e+06;41.3992;0
6.52693e+06;41.4102;0
6.62329e+06;41.4214;0
6.72107e+06;41.4327;0
6.8203e+06;41.4441;0
6.92099e+06;41.4557;0
7.02317e+06;41.4675;0
7.12686e+06;41.4794;0
7.23208e+06;41.4915;0
7.33885e+06;41.5037;0
7.4472e+06;41.5161;0
7.55715e+06;41.5287;0
7.66872e+06;41.5414;0
7.78194e+06;41.5543;0
7.89683e+06;41.5674;0
8.01341e+06;41.5807;0
8.13172e+06;41.5941;0
8.25177e+06;41.6077;0
8.3736e+06;41.6215;0
8.49723e+06;41.6354;0
8.62268e+06;41.6496;0
8.74998e+06;41.6639;0
8.87916e+06;41.6785;0
9.01025e+06;41.6932;0
9.14327e+06;41.7081;0
9.27826e+06;41.7232;0
9.41524e+06;41.7385;0
9.55425e+06;41.754;0
9.6953e+06;41.7697;0
9.83844e+06;41.7856;0
9.98369e+06;41.8017;0
1.01311e+07;41.8181;0
1.02807e+07;41.8346;0
1.04324e+07;41.8514;0
1.05865e+07;41.8683;0
1.07428e+07;41.8855;0
1.09014e+07;41.903;0
1.10623e+07;41.9206;0
1.12256e+07;41.9385;0
1.13914e+07;41.9566;0
1.15595e+07;41.9749;0
1.17302e+07;41.9935;0
1.19034e+07;42.0123;0
1.20791e+07;42.0313;0
1.22574e+07;42.0506;0
1.24384e+07;42.0702;0
1.2622e+07;42.09;0
1.28084e+07;42.11;0
1.29975e+07;42.1303;0
1.31894e+07;42.1509;0
1.33841e+07;42.1717;0
1.35817e+07;42.1928;0
1.37822e+07;42.2141;0
1.39857e+07;42.2357;0
1.41922e+07;42.2576;0
1.44017e+07;42.2798;0
1.46143e+07;42.3022;0
1.48301e+07;42.325;0
1.5049e+07;42.348;0
1.52712e+07;42.3713;0
1.54967e+07;42.3949;0
1.57255e+07;42.4188;0
1.59576e+07;42.443;0
1.61932e+07;42.4675;0
1.64323e+07;42.4923;0
1.66749e+07;42.5174;0
1.69211e+07;42.5428;0
1.71709e+07;42.5686;0
1.74244e+07;42.5947;0
1.76817e+07;42.621;0
1.79427e+07;42.6478;0
1.82076e+07;42.6748;0
1.84764e+07;42.7022;0
1.87492e+07;42.7299;0
1.9026e+07;42.758;0
1.93069e+07;42.7864;0
1.95919e+07;42.8151;0
1.98812e+07;42.8442;0
2.01747e+07;42.8607;0
2.04726e+07;42.8684;0
2.07748e+07;42.8762;0
2.10815e+07;42.8841;0
2.13928e+07;42.8922;0
2.17086e+07;42.9004;0
2.20291e+07;42.9087;0
2.23543e+07;42.9171;0
2.26843e+07;42.9257;0
2.30193e+07;42.9344;0
2.33591e+07;42.9432;0
2.3704e+07;42.9522;0
