"frequency";"r S21_phase";"i S21_phase"
1e+06;-175.713;0
1.01476e+06;-175.72;0
1.02975e+06;-175.728;0
1.04495e+06;-175.735;0
1.06038e+06;-175.743;0
1.07603e+06;-175.75;0
1.09192e+06;-175.758;0
1.10804e+06;-175.766;0
1.1244e+06;-175.774;0
1.141e+06;-175.782;0
1.15784e+06;-175.79;0
1.17494e+06;-175.799;0
1.19228e+06;-175.807;0
1.20988e+06;-175.816;0
1.22775e+06;-175.825;0
1.24587e+06;-175.834;0
1.26427e+06;-175.843;0
1.28293e+06;-175.852;0
1.30187e+06;-175.861;0
1.32109e+06;-175.87;0
1.3406e+06;-175.88;0
1.36039e+06;-175.89;0
1.38047e+06;-175.899;0
1.40085e+06;-175.909;0
1.42154e+06;-175.919;0
1.44252e+06;-175.93;0
1.46382e+06;-175.94;0
1.48543e+06;-175.951;0
1.50736e+06;-175.961;0
1.52962e+06;-175.972;0
1.5522e+06;-175.983;0
1.57512e+06;-175.994;0
1.59837e+06;-176.006;0
1.62197e+06;-176.017;0
1.64591e+06;-176.029;0
1.67021e+06;-176.041;0
1.69487e+06;-176.053;0
1.71989e+06;-176.065;0
1.74529e+06;-176.078;0
1.77105e+06;-176.09;0
1.7972e+06;-176.103;0
1.82373e+06;-176.116;0
1.85066e+06;-176.129;0
1.87798e+06;-176.142;0
1.90571e+06;-176.156;0
1.93384e+06;-176.169;0
1.96239e+06;-176.183;0
1.99137e+06;-176.197;0
2.02076e+06;-176.212;0
2.0506e+06;-176.226;0
2.08087e+06;-176.241;0
2.11159e+06;-176.256;0
2.14277e+06;-176.271;0
2.1744e+06;-176.286;0
2.20651e+06;-176.302;0
2.23908e+06;-176.318;0
2.27214e+06;-176.334;0
2.30569e+06;-176.35;0
2.33973e+06;-176.367;0
2.37427e+06;-176.384;0
2.40932e+06;-176.401;0
2.44489e+06;-176.418;0
2.48099e+06;-176.435;0
2.51762e+06;-176.453;0
2.55479e+06;-176.471;0
2.5925e+06;-176.489;0
2.63078e+06;-176.508;0
2.66962e+06;-176.527;0
2.70903e+06;-176.546;0
2.74903e+06;-176.565;0
2.78961e+06;-176.585;0
2.8308e+06;-176.605;0
2.87259e+06;-176.625;0
2.915e+06;-176.646;0
2.95804e+06;-176.666;0
3.00171e+06;-176.688;0
3.04602e+06;-176.709;0
3.09099e+06;-176.731;0
3.13663e+06;-176.753;0
3.18294e+06;-176.775;0
3.22993e+06;-176.798;0
3.27761e+06;-176.821;0
3.326e+06;-176.844;0
3.37511e+06;-176.868;0
3.42494e+06;-176.892;0
3.4755e+06;-176.916;0
3.52681e+06;-176.941;0
3.57888e+06;-176.966;0
3.63172e+06;-176.992;0
3.68534e+06;-177.017;0
3.73975e+06;-177.044;0
3.79496e+06;-177.07;0
3.85099e+06;-177.097;0
3.90784e+06;-177.124;0
3.96553e+06;-177.152;0
4.02408e+06;-177.18;0
4.08349e+06;-177.209;0
4.14378e+06;-177.238;0
4.20496e+06;-177.267;0
4.26704e+06;-177.297;0
4.33003e+06;-177.327;0
4.39396e+06;-177.358;0
4.45883e+06;-177.389;0
4.52466e+06;-177.42;0
4.59146e+06;-177.452;0
4.65925e+06;-177.485;0
4.72804e+06;-177.518;0
4.79784e+06;-177.551;0
4.86867e+06;-177.585;0
4.94055e+06;-177.619;0
5.01349e+06;-177.654;0
5.08751e+06;-177.69;0
5.16262e+06;-177.725;0
5.23884e+06;-177.762;0
5.31618e+06;-177.799;0
5.39467e+06;-177.836;0
5.47432e+06;-177.874;0
5.55514e+06;-177.912;0
5.63715e+06;-177.951;0
5.72038e+06;-177.991;0
5.80483e+06;-178.031;0
5.89053e+06;-178.072;0
5.9775e+06;-178.113;0
6.06575e+06;-178.155;0
6.1553e+06;-178.198;0
6.24617e+06;-178.241;0
6.33839e+06;-178.284;0
6.43197e+06;-178.329;0
6.52693e+06;-178.374;0
6.62329e+06;-178.419;0
6.72107e+06;-178.465;0
6.8203e+06;-178.512;0
6.92099e+06;-178.56;0
7.02317e+06;-178.608;0
7.12686e+06;-178.657;0
7.23208e+06;-178.707;0
7.33885e+06;-178.757;0
7.4472e+06;-178.808;0
7.55715e+06;-178.86;0
7.66872e+06;-178.912;0
7.78194e+06;-178.966;0
7.89683e+06;-179.019;0
8.01341e+06;-179.074;0
8.13172e+06;-179.13;0
8.25177e+06;-179.186;0
8.3736e+06;-179.243;0
8.49723e+06;-179.301;0
8.62268e+06;-179.36;0
8.74998e+06;-179.419;0
8.87916e+06;-179.48;0
9.01025e+06;-179.541;0
9.14327e+06;-179.603;0
9.27826e+06;-179.666;0
9.41524e+06;-179.73;0
9.55425e+06;-179.795;0
9.6953e+06;-179.861;0
9.83844e+06;-179.927;0
9.98369e+06;-179.995;0
1.01311e+07;-180.063;0
1.02807e+07;-180.133;0
1.04324e+07;-180.203;0
1.05865e+07;-180.275;0
1.07428e+07;-180.347;0
1.09014e+07;-180.421;0
1.10623e+07;-180.495;0
1.12256e+07;-180.571;0
1.13914e+07;-180.647;0
1.15595e+07;-180.725;0
1.17302e+07;-180.804;0
1.19034e+07;-180.884;0
1.20791e+07;-180.965;0
1.22574e+07;-181.047;0
1.24384e+07;-181.13;0
1.2622e+07;-181.215;0
1.28084e+07;-181.301;0
1.29975e+07;-181.387;0
1.31894e+07;-181.476;0
1.33841e+07;-181.565;0
1.35817e+07;-181.656;0
1.37822e+07;-181.748;0
1.39857e+07;-181.841;0
1.41922e+07;-181.935;0
1.44017e+07;-182.031;0
1.46143e+07;-182.129;0
1.48301e+07;-182.227;0
1.5049e+07;-182.327;0
1.52712e+07;-182.429;0
1.54967e+07;-182.532;0
1.57255e+07;-182.636;0
1.59576e+07;-182.742;0
1.61932e+07;-182.85;0
1.64323e+07;-182.959;0
1.66749e+07;-183.069;0
1.69211e+07;-183.181;0
1.71709e+07;-183.295;0
1.74244e+07;-183.41;0
1.76817e+07;-183.527;0
1.79427e+07;-183.646;0
1.82076e+07;-183.767;0
1.84764e+07;-183.889;0
1.87492e+07;-184.013;0
1.9026e+07;-184.139;0
1.93069e+07;-184.266;0
1.95919e+07;-184.396;0
1.98812e+07;-184.527;0
2.01747e+07;-184.6;0
2.04726e+07;-184.631;0
2.07748e+07;-184.663;0
2.10815e+07;-184.695;0
2.13928e+07;-184.728;0
2.17086e+07;-184.761;0
2.20291e+07;-184.795;0
2.23543e+07;-184.829;0
2.26843e+07;-184.863;0
2.30193e+07;-184.898;0
2.33591e+07;-184.934;0
2.3704e+07;-184.97;0
2.40539e+07;-185.006;0
2.44091e+07;-185.043;0
2.47694e+07;-185.081;0
2.51351e+07;-185.119;0
2.55062e+07;-185.158;0
2.58828e+07;-185.197;0
2.62649e+07;-185.237;0
