,electric_field_1m_V_per_m,time_s
0,23.5297679397,0.0
1,16.966891617,3.85368436041e-10
2,1.51714303589,7.70736872081e-10
3,-14.2850269888,1.15610530812e-09
4,-21.6381525512,1.54147374416e-09
5,-16.4312621333,1.9268421802e-09
6,-1.63240366241,2.31221061624e-09
7,14.3353774659,2.69757905228e-09
8,22.3615913277,3.08294748832e-09
9,17.8656474483,3.46831592437e-09
10,3.46376092576,3.85368436041e-09
11,-12.4761819577,4.23905279645e-09
12,-20.590134455,4.62442123249e-09
13,-15.8618927643,5.00978966853e-09
14,-0.484394388504,5.39515810457e-09
15,17.396741881,5.78052654061e-09
16,28.3050574565,6.16589497665e-09
17,26.7279027943,6.55126341269e-09
18,14.0359922196,6.93663184873e-09
19,-2.58989708492,7.32200028477e-09
20,-14.4849135779,7.70736872081e-09
21,-16.45776758,8.09273715685e-09
22,-9.46622409399,8.47810559289e-09
23,0.457055732618,8.86347402893e-09
24,6.20776379267,9.24884246497e-09
25,3.99008138659,9.63421090102e-09
26,-4.60799430498,1.00195793371e-08
27,-14.0002809125,1.04049477731e-08
28,-18.3968246948,1.07903162091e-08
29,-15.4592772972,1.11756846452e-08
30,-7.43351563472,1.15610530812e-08
31,0.904447703745,1.19464215173e-08
32,5.98448999292,1.23317899533e-08
33,8.16191167864,1.27171583893e-08
34,11.3363284805,1.31025268254e-08
35,19.4853697646,1.34878952614e-08
36,32.3875757873,1.38732636975e-08
37,43.7032880202,1.42586321335e-08
38,43.3713632097,1.46440005695e-08
39,23.5488817181,1.50293690056e-08
40,-15.2839719272,1.54147374416e-08
41,-62.1700292831,1.58001058777e-08
42,-99.7290266228,1.61854743137e-08
43,-113.063379466,1.65708427497e-08
44,-98.8460501047,1.69562111858e-08
45,-69.015319156,1.73415796218e-08
46,-45.8815971922,1.77269480579e-08
47,-50.1031461755,1.81123164939e-08
48,-87.4240376666,1.84976849299e-08
49,-141.660810824,1.8883053366e-08
50,-178.929787693,1.9268421802e-08
51,-162.504919154,1.96537902381e-08
52,-71.8132353807,2.00391586741e-08
53,83.871106467,2.04245271102e-08
54,264.643500506,2.08098955462e-08
55,413.739405179,2.11952639822e-08
56,480.300018088,2.15806324183e-08
57,440.832672978,2.19660008543e-08
58,309.321514611,2.23513692904e-08
59,131.195394937,2.27367377264e-08
60,-35.9831369131,2.31221061624e-08
61,-146.025858538,2.35074745985e-08
62,-181.056256552,2.38928430345e-08
63,-154.694730032,2.42782114706e-08
64,-101.209471469,2.46635799066e-08
65,-56.9880860793,2.50489483426e-08
66,-43.7708798238,2.54343167787e-08
67,-61.3085230743,2.58196852147e-08
68,-91.71173781,2.62050536508e-08
69,-111.764307339,2.65904220868e-08
70,-105.973004039,2.69757905228e-08
71,-73.6827882386,2.73611589589e-08
72,-27.4965788551,2.77465273949e-08
73,14.8922593879,2.8131895831e-08
74,40.1955738533,2.8517264267e-08
75,45.1486261879,2.8902632703e-08
76,35.8997334379,2.92880011391e-08
77,22.5784915833,2.96733695751e-08
78,12.9142054804,3.00587380112e-08
79,8.71069275864,3.04441064472e-08
80,6.72511212882,3.08294748832e-08
81,2.61816482225,3.12148433193e-08
82,-5.07790684063,3.16002117553e-08
83,-13.6645473332,3.19855801914e-08
84,-18.3153186164,3.23709486274e-08
85,-15.8128932067,3.27563170635e-08
86,-7.26502561715,3.31416854995e-08
87,2.16316732294,3.35270539355e-08
88,6.42266067348,3.39124223716e-08
89,2.60912886234,3.42977908076e-08
90,-6.83392111227,3.46831592437e-08
91,-15.3038423258,3.50685276797e-08
92,-16.0336950611,3.54538961157e-08
93,-6.4776516499,3.58392645518e-08
94,9.67546894658,3.62246329878e-08
95,24.2447265791,3.66100014239e-08
96,29.1628562823,3.69953698599e-08
97,21.2649661351,3.73807382959e-08
98,4.38363062937,3.7766106732e-08
99,-12.586744333,3.8151475168e-08
100,-20.6227419529,3.85368436041e-08
101,-15.6768415351,3.89222120401e-08
102,-0.988522712996,3.93075804761e-08
103,14.7610170035,3.96929489122e-08
104,22.4046112218,4.00783173482e-08
105,17.507706836,4.04636857843e-08
106,2.85744926166,4.08490542203e-08
107,-13.1832482697,4.12344226563e-08
108,-21.478875665,4.16197910924e-08
109,-17.3105601064,4.20051595284e-08
110,-3.00105606004,4.23905279645e-08
111,13.4653566229,4.27758964005e-08
112,22.9704947071,4.31612648365e-08
113,20.3242773246,4.35466332726e-08
114,7.02073003951,4.39320017086e-08
115,-9.76910708777,4.43173701447e-08
116,-21.2703472059,4.47027385807e-08
117,-21.869852434,4.50881070168e-08
118,-11.9281591412,4.54734754528e-08
119,2.78842090431,4.58588438888e-08
120,14.5326661398,4.62442123249e-08
121,17.7950693702,4.66295807609e-08
122,11.9637687222,4.7014949197e-08
123,1.11666737219,4.7400317633e-08
124,-8.66915315585,4.7785686069e-08
125,-12.7669862785,4.81710545051e-08
126,-10.2333789721,4.85564229411e-08
127,-3.73620664283,4.89417913772e-08
128,2.49134629273,4.93271598132e-08
129,5.25632775305,4.97125282492e-08
130,4.0056143003,5.00978966853e-08
131,0.634453305605,5.04832651213e-08
132,-2.12293703853,5.08686335574e-08
133,-2.54234162715,5.12540019934e-08
134,-0.821193411479,5.16393704294e-08
135,1.39391772341,5.20247388655e-08
136,2.37421857698,5.24101073015e-08
137,1.54837757662,5.27954757376e-08
138,-0.224745044954,5.31808441736e-08
139,-1.46145701444,5.35662126096e-08
140,-1.2872707561,5.39515810457e-08
141,-0.168487398597,5.43369494817e-08
142,0.416023955444,5.47223179178e-08
143,-0.844393303388,5.51076863538e-08
144,-3.89767027085,5.54930547898e-08
145,-7.02276159647,5.58784232259e-08
146,-7.74881084189,5.62637916619e-08
147,-4.50293975522,5.6649160098e-08
148,2.0646221605,5.7034528534e-08
149,9.02027565641,5.74198969701e-08
150,12.5551146073,5.78052654061e-08
151,10.1386085354,5.81906338421e-08
152,2.16237769441,5.85760022782e-08
153,-7.96496367755,5.89613707142e-08
154,-15.4437430008,5.93467391503e-08
155,-16.5882948891,5.97321075863e-08
156,-10.8186953036,6.01174760223e-08
157,-1.0018862178,6.05028444584e-08
158,8.06918340653,6.08882128944e-08
159,12.2111552405,6.12735813305e-08
160,9.98279578204,6.16589497665e-08
161,3.24692921549,6.20443182025e-08
162,-4.08765787543,6.24296866386e-08
163,-8.35269085959,6.28150550746e-08
164,-8.08916404169,6.32004235107e-08
165,-4.59649199014,6.35857919467e-08
166,-0.837524494835,6.39711603827e-08
167,0.550090943337,6.43565288188e-08
168,-1.1076266122,6.47418972548e-08
169,-4.21075710779,6.51272656909e-08
170,-6.03910719636,6.55126341269e-08
171,-4.60812550007,6.58980025629e-08
172,-0.0540956844107,6.6283370999e-08
173,5.31502278281,6.6668739435e-08
174,8.34013068017,6.70541078711e-08
175,6.90510531782,6.74394763071e-08
176,1.2651408329,6.78248447431e-08
177,-5.98461955559,6.82102131792e-08
178,-11.2833271356,6.85955816152e-08
179,-12.0213710409,6.89809500513e-08
180,-7.90555860995,6.93663184873e-08
181,-1.02931606002,6.97516869234e-08
182,5.32947329018,7.01370553594e-08
183,8.44589577783,7.05224237954e-08
184,7.43428553188,7.09077922315e-08
185,3.43046407052,7.12931606675e-08
186,-1.30053800893,7.16785291036e-08
187,-4.69724675813,7.20638975396e-08
188,-5.86630245462,7.24492659756e-08
189,-5.19354432835,7.28346344117e-08
190,-3.69761587575,7.32200028477e-08
191,-2.17881866193,7.36053712838e-08
192,-0.770235799678,7.39907397198e-08
193,0.85379759117,7.43761081558e-08
194,2.85542931414,7.47614765919e-08
195,4.74158447753,7.51468450279e-08
196,5.44837914321,7.5532213464e-08
197,4.01995415924,7.59175819e-08
198,0.438817580003,7.6302950336e-08
199,-4.00795060049,7.66883187721e-08
200,-7.19065033713,7.70736872081e-08
201,-7.26044316433,7.74590556442e-08
202,-3.79722730749,7.78444240802e-08
203,1.74825217485,7.82297925162e-08
204,6.67564862969,7.86151609523e-08
205,8.44650363483,7.90005293883e-08
206,6.10681362334,7.93858978244e-08
207,0.883119938479,7.97712662604e-08
208,-4.43755159857,8.01566346964e-08
209,-7.03082286657,8.05420031325e-08
210,-5.60646750751,8.09273715685e-08
211,-1.12350404258,8.13127400046e-08
212,3.77263488506,8.16981084406e-08
213,6.27329930211,8.20834768767e-08
214,5.01226797563,8.24688453127e-08
215,0.826812058685,8.28542137487e-08
216,-3.75971904594,8.32395821848e-08
217,-6.02237322253,8.36249506208e-08
218,-4.61590507184,8.40103190569e-08
219,-0.336824166002,8.43956874929e-08
220,4.36131543913,8.47810559289e-08
221,6.79705267483,8.5166424365e-08
222,5.59196417084,8.5551792801e-08
223,1.42192440669,8.59371612371e-08
224,-3.41911057384,8.63225296731e-08
225,-6.35411602499,8.67078981091e-08
226,-5.96161523714,8.70932665452e-08
227,-2.69522883612,8.74786349812e-08
228,1.48837574043,8.78640034173e-08
229,4.31968091401,8.82493718533e-08
230,4.49536668178,8.86347402893e-08
231,2.30926156468,8.90201087254e-08
232,-0.678974370169,8.94054771614e-08
233,-2.66994617377,8.97908455975e-08
234,-2.68996424507,9.01762140335e-08
235,-1.06551978668,9.05615824695e-08
236,0.924479231659,9.09469509056e-08
237,1.93888824114,9.13323193416e-08
238,1.41944569563,9.17176877777e-08
239,-0.125894393709,9.21030562137e-08
240,-1.53460472831,9.24884246497e-08
241,-1.78755998301,9.28737930858e-08
242,-0.662192139296,9.32591615218e-08
243,1.16605474284,9.36445299579e-08
244,2.60556506821,9.40298983939e-08
245,2.86888738929,9.441526683e-08
246,1.94983632707,9.4800635266e-08
247,0.557055235464,9.5186003702e-08
248,-0.42479756931,9.55713721381e-08
249,-0.561484602972,9.59567405741e-08
250,-0.148031711153,9.63421090102e-08
251,0.0522730111114,9.67274774462e-08
252,-0.572633560765,9.71128458822e-08
253,-1.94204055522,9.74982143183e-08
254,-3.21869052422,9.78835827543e-08
255,-3.31123281631,9.82689511904e-08
256,-1.64391671986,9.86543196264e-08
257,1.31407286694,9.90396880624e-08
258,4.15024206221,9.94250564985e-08
259,5.24883336802,9.98104249345e-08
260,3.76146667761,1.00195793371e-07
261,0.217987823524,1.00581161807e-07
262,-3.63417434362,1.00966530243e-07
263,-5.72734787761,1.01351898679e-07
264,-4.82282651904,1.01737267115e-07
265,-1.24975798127,1.02122635551e-07
266,3.21499990185,1.02508003987e-07
267,6.28664782941,1.02893372423e-07
268,6.41451203688,1.03278740859e-07
269,3.62543846619,1.03664109295e-07
270,-0.509490451464,1.04049477731e-07
271,-3.76152909017,1.04434846167e-07
272,-4.47417150903,1.04820214603e-07
273,-2.43854306441,1.05205583039e-07
274,1.06657657608,1.05590951475e-07
275,4.06190949257,1.05976319911e-07
276,5.00286049927,1.06361688347e-07
277,3.60409314237,1.06747056783e-07
278,0.902396996136,1.07132425219e-07
279,-1.43323831066,1.07517793655e-07
280,-2.10154215618,1.07903162091e-07
281,-0.881589915495,1.08288530527e-07
282,1.33585648178,1.08673898963e-07
283,3.16818564203,1.09059267399e-07
284,3.59941040927,1.09444635836e-07
285,2.54986784051,1.09830004272e-07
286,0.837413192091,1.10215372708e-07
287,-0.401468717131,1.10600741144e-07
288,-0.438379534812,1.1098610958e-07
289,0.630020465468,1.11371478016e-07
290,2.01227310561,1.11756846452e-07
291,2.78177327109,1.12142214888e-07
292,2.48481497438,1.12527583324e-07
293,1.40563694162,1.1291295176e-07
294,0.335349369176,1.13298320196e-07
295,0.0179332710164,1.13683688632e-07
296,0.6496603334,1.14069057068e-07
297,1.76161732646,1.14454425504e-07
298,2.55485548873,1.1483979394e-07
299,2.45682103482,1.15225162376e-07
300,1.52253417347,1.15610530812e-07
301,0.408003435163,1.15995899248e-07
302,-0.0721123417678,1.16381267684e-07
303,0.488448107198,1.1676663612e-07
304,1.77714807915,1.17152004556e-07
305,2.92983340745,1.17537372992e-07
306,3.08553874283,1.17922741428e-07
307,1.97740349552,1.18308109864e-07
308,0.167976597058,1.18693478301e-07
309,-1.24858991457,1.19078846737e-07
310,-1.31631242264,1.19464215173e-07
311,0.151489496711,1.19849583609e-07
312,2.38748405103,1.20234952045e-07
313,4.07705789386,1.20620320481e-07
314,4.13535433369,1.21005688917e-07
315,2.3905304771,1.21391057353e-07
316,-0.254304162505,1.21776425789e-07
317,-2.30516610826,1.22161794225e-07
318,-2.54147185652,1.22547162661e-07
319,-0.753775674389,1.22932531097e-07
320,2.09191464398,1.23317899533e-07
321,4.37875969421,1.23703267969e-07
322,4.7600013343,1.24088636405e-07
323,2.94275231578,1.24474004841e-07
