,electric_field_1m_V_per_m,time_s
0,0.0,0.0
1,2.11955568628e-12,3.85368436041e-10
2,-8.41870094434e-12,7.70736872081e-10
3,4.39755329927e-11,1.15610530812e-09
4,-2.16869480674e-10,1.54147374416e-09
5,1.00721205476e-09,1.9268421802e-09
6,-4.49214408049e-09,2.31221061624e-09
7,1.94786365643e-08,2.69757905228e-09
8,-8.27381022276e-08,3.08294748832e-09
9,3.45946855308e-07,3.46831592437e-09
10,-1.42861227156e-06,3.85368436041e-09
11,5.84050942235e-06,4.23905279645e-09
12,-2.36798588348e-05,4.62442123249e-09
13,9.53404438798e-05,5.00978966853e-09
14,-0.000381587311537,5.39515810457e-09
15,0.00151944618066,5.78052654061e-09
16,-0.00602335281413,6.16589497665e-09
17,0.0237841461392,6.55126341269e-09
18,-0.0935895848899,6.93663184873e-09
19,0.367130969351,7.32200028477e-09
20,-14.2647886116,7.70736872081e-09
21,-16.5198019546,8.09273715685e-09
22,-9.44875535422,8.47810559289e-09
23,0.452146923395,8.86347402893e-09
24,6.20914053532,9.24884246497e-09
25,3.98969594493,9.63421090102e-09
26,-4.60788657089,1.00195793371e-08
27,-14.0003109795,1.04049477731e-08
28,-18.3968163154,1.07903162091e-08
29,-15.4592796294,1.11756846452e-08
30,-7.43351498641,1.15610530812e-08
31,0.904447523728,1.19464215173e-08
32,5.98449004285,1.23317899533e-08
33,8.16191166481,1.27171583893e-08
34,11.3363284843,1.31025268254e-08
35,19.4853697635,1.34878952614e-08
36,32.3875757875,1.38732636975e-08
37,43.7032880201,1.42586321335e-08
38,43.3713632097,1.46440005695e-08
39,23.5488817181,1.50293690056e-08
40,-15.2839719272,1.54147374416e-08
41,-62.1700292831,1.58001058777e-08
42,-99.7290266228,1.61854743137e-08
43,-113.063379466,1.65708427497e-08
44,-98.8460501047,1.69562111858e-08
45,-69.015319156,1.73415796218e-08
46,-45.8815971922,1.77269480579e-08
47,-50.1031461755,1.81123164939e-08
48,-87.4240376666,1.84976849299e-08
49,-141.660810824,1.8883053366e-08
50,-178.929787693,1.9268421802e-08
51,-162.504919154,1.96537902381e-08
52,-71.8132353807,2.00391586741e-08
53,83.871106467,2.04245271102e-08
54,264.643500506,2.08098955462e-08
55,413.739405179,2.11952639822e-08
56,480.300018088,2.15806324183e-08
57,440.832672978,2.19660008543e-08
58,309.321514611,2.23513692904e-08
59,131.195394937,2.27367377264e-08
60,-35.9831369131,2.31221061624e-08
61,-146.025858538,2.35074745985e-08
62,-181.056256552,2.38928430345e-08
63,-154.694730032,2.42782114706e-08
64,-101.209471469,2.46635799066e-08
65,-56.9880860793,2.50489483426e-08
66,-43.7708798238,2.54343167787e-08
67,-61.3085230743,2.58196852147e-08
68,-91.71173781,2.62050536508e-08
69,-111.764307339,2.65904220868e-08
70,-105.973004039,2.69757905228e-08
71,-73.6827882386,2.73611589589e-08
72,-27.4965788551,2.77465273949e-08
73,14.8922593879,2.8131895831e-08
74,40.1955738533,2.8517264267e-08
75,45.1486261879,2.8902632703e-08
76,35.8997334379,2.92880011391e-08
77,22.5784915833,2.96733695751e-08
78,12.9142054804,3.00587380112e-08
79,8.71069275864,3.04441064472e-08
80,6.72511212882,3.08294748832e-08
81,2.61816482225,3.12148433193e-08
82,-5.07790684063,3.16002117553e-08
83,-13.6645473332,3.19855801914e-08
84,-18.3153186164,3.23709486274e-08
85,-15.8128932067,3.27563170635e-08
86,-7.26502561715,3.31416854995e-08
87,2.16316732294,3.35270539355e-08
88,6.42266067348,3.39124223716e-08
89,2.60912886234,3.42977908076e-08
90,-6.83392111227,3.46831592437e-08
91,-15.3038423258,3.50685276797e-08
92,-16.0336950611,3.54538961157e-08
93,-6.4776516499,3.58392645518e-08
94,9.67546894658,3.62246329878e-08
95,24.2447265791,3.66100014239e-08
96,29.1628562823,3.69953698599e-08
97,21.2649661351,3.73807382959e-08
98,4.38363062937,3.7766106732e-08
99,-12.586744333,3.8151475168e-08
100,-20.6227419529,3.85368436041e-08
101,-15.676841535,3.89222120401e-08
102,-0.988522713283,3.93075804761e-08
103,14.7610170046,3.96929489122e-08
104,22.4046112178,4.00783173482e-08
105,17.5077068511,4.04636857843e-08
106,2.85744920504,4.08490542203e-08
107,-13.1832480575,4.12344226563e-08
108,-21.4788764601,4.16197910924e-08
109,-17.3105571272,4.20051595284e-08
110,-3.00106722136,4.23905279645e-08
111,13.4653984346,4.27758964005e-08
112,22.9703380903,4.31612648365e-08
113,20.3248639195,4.35466332726e-08
114,7.01853320369,4.39320017086e-08
115,-9.76088055008,4.43173701447e-08
116,-21.3011505078,4.47027385807e-08
117,-21.7545233961,4.50881070168e-08
118,-12.3599185346,4.54734754528e-08
119,4.40466572517,4.58588438888e-08
120,2.38061207655,4.62442123249e-08
121,-0.603106844419,4.66295807609e-08
122,0.162990083522,4.7014949197e-08
123,-0.0440441892969,4.7400317633e-08
124,0.0119008245768,4.7785686069e-08
125,-0.00321534035339,4.81710545051e-08
126,0.000868637893104,4.85564229411e-08
127,-0.000234645894322,4.89417913772e-08
128,6.33796669264e-05,4.93271598132e-08
129,-1.71178877578e-05,4.97125282492e-08
130,4.62289510546e-06,5.00978966853e-08
131,-1.24836605619e-06,5.04832651213e-08
132,3.37081024305e-07,5.08686335574e-08
133,-9.10104966939e-08,5.12540019934e-08
134,2.45704927161e-08,5.16393704294e-08
135,-6.63287502055e-09,5.20247388655e-08
136,1.79042316414e-09,5.24101073015e-08
137,-4.83254421116e-10,5.27954757376e-08
138,1.30425526459e-10,5.31808441736e-08
139,-3.51978639244e-11,5.35662126096e-08
140,9.49811205896e-12,5.39515810457e-08
141,-2.56286575814e-12,5.43369494817e-08
142,6.91484302921e-13,5.47223179178e-08
143,-1.86555042675e-13,5.51076863538e-08
144,5.03268970207e-14,5.54930547898e-08
145,-1.35756958032e-14,5.58784232259e-08
146,3.6617872259e-15,5.62637916619e-08
147,-9.87628128677e-16,5.6649160098e-08
148,2.66356562752e-16,5.7034528534e-08
149,-7.1829562405e-17,5.74198969701e-08
150,1.9369265965e-17,5.78052654061e-08
151,-5.22268072467e-18,5.81906338421e-08
152,1.40813537156e-18,5.85760022782e-08
153,-3.79634954258e-19,5.89613707142e-08
154,1.02343216803e-19,5.93467391503e-08
155,-2.75881924625e-20,5.97321075863e-08
156,7.43633532193e-21,6.01174760223e-08
157,-2.0043171054e-21,6.05028444584e-08
158,5.40189156165e-22,6.08882128944e-08
159,-1.45578572872e-22,6.12735813305e-08
160,3.92302811889e-23,6.16589497665e-08
161,-1.05710456438e-23,6.20443182025e-08
162,2.84830983801e-24,6.24296866386e-08
163,-7.67413532479e-25,6.28150550746e-08
164,2.06749658067e-25,6.32004235107e-08
165,-5.56972108631e-26,6.35857919467e-08
166,1.50036031839e-26,6.39711603827e-08
167,-4.04139531778e-27,6.43565288188e-08
168,1.08853126126e-27,6.47418972548e-08
169,-2.93173320379e-28,6.51272656909e-08
170,7.89554493528e-29,6.55126341269e-08
171,-2.12624864433e-29,6.58980025629e-08
172,5.72559222616e-30,6.6283370999e-08
173,-1.54170523984e-30,6.6668739435e-08
174,4.15104070464e-31,6.70541078711e-08
175,-1.11760280249e-31,6.74394763071e-08
176,3.00879744681e-32,6.78248447431e-08
177,-8.09978573837e-33,6.82102131792e-08
178,2.1803657162e-33,6.85955816152e-08
179,-5.86895143579e-34,6.89809500513e-08
180,1.57967288393e-34,6.93663184873e-08
181,-4.25157066972e-35,6.97516869234e-08
182,1.1442142312e-35,7.01370553594e-08
183,-3.07922270209e-36,7.05224237954e-08
184,8.28611149411e-37,7.09077922315e-08
185,-2.22964882025e-37,7.12931606675e-08
186,5.99926817862e-38,7.16785291036e-08
187,-1.61412179441e-38,7.20638975396e-08
188,4.34260805699e-39,7.24492659756e-08
189,-1.16826499045e-39,7.28346344117e-08
190,3.14274087076e-40,7.32200028477e-08
191,-8.45380742649e-41,7.36053712838e-08
192,2.27390739424e-41,7.39907397198e-08
193,-6.11603441752e-42,7.43761081558e-08
194,1.64491653164e-42,7.47614765919e-08
195,-4.42379179944e-43,7.51468450279e-08
196,1.18965882563e-43,7.5532213464e-08
197,-3.19909535873e-44,7.59175819e-08
198,8.60218952427e-45,7.6302950336e-08
199,-2.31295910269e-45,7.66883187721e-08
200,6.21876411424e-46,7.70736872081e-08
201,-1.67192753861e-46,7.74590556442e-08
202,4.49477656047e-47,7.78444240802e-08
203,-1.20830368856e-47,7.82297925162e-08
204,3.24804082e-48,7.86151609523e-08
205,-8.73060385402e-49,7.90005293883e-08
206,2.34662965301e-49,7.93858978244e-08
207,-6.30699273734e-50,7.97712662604e-08
208,1.69503100924e-50,8.01566346964e-08
209,-4.5552323816e-51,8.05420031325e-08
210,1.22411164315e-51,8.09273715685e-08
211,-3.28934290435e-52,8.13127400046e-08
212,8.8384258848e-53,8.16981084406e-08
213,-2.37475261475e-53,8.20834768767e-08
214,6.38027677863e-54,8.24688453127e-08
215,-1.71410875902e-54,8.28542137487e-08
216,4.60484433619e-55,8.32395821848e-08
217,-1.23699877275e-55,8.36249506208e-08
218,3.32277800931e-56,8.40103190569e-08
219,-8.9250598246e-57,8.43956874929e-08
220,2.39716924211e-57,8.47810559289e-08
221,-6.43819327803e-58,8.5166424365e-08
222,1.72904809785e-58,8.5551792801e-08
223,-4.64331218911e-59,8.59371612371e-08
224,1.24688508908e-59,8.63225296731e-08
225,-3.34813303652e-60,8.67078981091e-08
226,8.98993796824e-61,8.70932665452e-08
227,-2.41372829934e-61,8.74786349812e-08
228,6.48033935651e-62,8.78640034173e-08
229,-1.73974170502e-62,8.82493718533e-08
230,4.67035006235e-63,8.86347402893e-08
231,-1.25369444278e-63,8.90201087254e-08
232,3.36520515223e-64,8.94054771614e-08
233,-9.03252005651e-65,8.97908455975e-08
234,2.42428588932e-65,9.01762140335e-08
235,-6.50633175727e-66,9.05615824695e-08
236,1.74608750648e-66,9.09469509056e-08
237,-4.68568610644e-67,9.13323193416e-08
238,1.25735443541e-67,9.17176877777e-08
