freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
0 	 0 	 -300.0     	   1e-30     	    140.4108
0 	 15 	 -300.0     	   1e-30     	    140.4113
0 	 30 	 -300.0     	   1e-30     	    140.4116
0 	 45 	 -300.0     	   1e-30     	    140.4119
0 	 60 	 -300.0     	   1e-30     	    140.4122
0 	 75 	 -300.0     	   1e-30     	    140.4125
0 	 90 	 -300.0     	   1e-30     	    140.4129
0 	 105 	 -300.0     	   1e-30     	    140.4137
0 	 120 	 -300.0     	   1e-30     	    140.4158
0 	 135 	 -300.0     	   1e-30     	    153.9431
0 	 150 	 -300.0     	   1e-30     	    -39.59198
0 	 165 	 -300.0     	   1e-30     	    -39.5899
0 	 180 	 -300.0     	   1e-30     	    -39.58914
0 	 195 	 -300.0     	   1e-30     	    -39.58871
0 	 210 	 -300.0     	   1e-30     	    -39.58838
0 	 225 	 -300.0     	   1e-30     	    -39.58811
0 	 240 	 -300.0     	   1e-30     	    -39.58783
0 	 255 	 -300.0     	   1e-30     	    -39.58751
0 	 270 	 -300.0     	   1e-30     	    -39.58707
0 	 285 	 -300.0     	   1e-30     	    -39.58631
0 	 300 	 -300.0     	   1e-30     	    -39.58423
0 	 315 	 -300.0     	   1e-30     	    -26.07875
0 	 330 	 -300.0     	   1e-30     	    140.408
0 	 345 	 -300.0     	   1e-30     	    140.4101
0 	 360 	 -300.0     	   1e-30     	    140.4108
15 	 0 	 -300.0     	   1e-30     	    -30.59479
15 	 15 	 -300.0     	   1e-30     	    -30.4985
15 	 30 	 -300.0     	   1e-30     	    -30.437
15 	 45 	 -300.0     	   1e-30     	    -30.41585
15 	 60 	 -300.0     	   1e-30     	    -30.43701
15 	 75 	 -300.0     	   1e-30     	    -30.49852
15 	 90 	 -300.0     	   1e-30     	    -30.59482
15 	 105 	 -300.0     	   1e-30     	    -30.71755
15 	 120 	 -300.0     	   1e-30     	    -30.85667
15 	 135 	 -300.0     	   1e-30     	    -31.00162
15 	 150 	 -300.0     	   1e-30     	    -31.14226
15 	 165 	 -300.0     	   1e-30     	    -31.26963
15 	 180 	 -300.0     	   1e-30     	    -31.37628
15 	 195 	 -300.0     	   1e-30     	    -31.45646
15 	 210 	 -300.0     	   1e-30     	    -31.50614
15 	 225 	 -300.0     	   1e-30     	    -31.52296
15 	 240 	 -300.0     	   1e-30     	    -31.50613
15 	 255 	 -300.0     	   1e-30     	    -31.45643
15 	 270 	 -300.0     	   1e-30     	    -31.37624
15 	 285 	 -300.0     	   1e-30     	    -31.26959
15 	 300 	 -300.0     	   1e-30     	    -31.14222
15 	 315 	 -300.0     	   1e-30     	    -31.00157
15 	 330 	 -300.0     	   1e-30     	    -30.85663
15 	 345 	 -300.0     	   1e-30     	    -30.71751
15 	 360 	 -300.0     	   1e-30     	    -30.59479
30 	 0 	 -300.0     	   1e-30     	    -30.79085
30 	 15 	 -300.0     	   1e-30     	    -30.74326
30 	 30 	 -300.0     	   1e-30     	    -30.71315
30 	 45 	 -300.0     	   1e-30     	    -30.70285
30 	 60 	 -300.0     	   1e-30     	    -30.71315
30 	 75 	 -300.0     	   1e-30     	    -30.74327
30 	 90 	 -300.0     	   1e-30     	    -30.79087
30 	 105 	 -300.0     	   1e-30     	    -30.85238
30 	 120 	 -300.0     	   1e-30     	    -30.92325
30 	 135 	 -300.0     	   1e-30     	    -30.99843
30 	 150 	 -300.0     	   1e-30     	    -31.07273
30 	 165 	 -300.0     	   1e-30     	    -31.14118
30 	 180 	 -300.0     	   1e-30     	    -31.19935
30 	 195 	 -300.0     	   1e-30     	    -31.24363
30 	 210 	 -300.0     	   1e-30     	    -31.27131
30 	 225 	 -300.0     	   1e-30     	    -31.28072
30 	 240 	 -300.0     	   1e-30     	    -31.2713
30 	 255 	 -300.0     	   1e-30     	    -31.24362
30 	 270 	 -300.0     	   1e-30     	    -31.19934
30 	 285 	 -300.0     	   1e-30     	    -31.14115
30 	 300 	 -300.0     	   1e-30     	    -31.07271
30 	 315 	 -300.0     	   1e-30     	    -30.99841
30 	 330 	 -300.0     	   1e-30     	    -30.92323
30 	 345 	 -300.0     	   1e-30     	    -30.85236
30 	 360 	 -300.0     	   1e-30     	    -30.79085
45 	 0 	 -300.0     	   1e-30     	    -30.84571
45 	 15 	 -300.0     	   1e-30     	    -30.81224
45 	 30 	 -300.0     	   1e-30     	    -30.79113
45 	 45 	 -300.0     	   1e-30     	    -30.78393
45 	 60 	 -300.0     	   1e-30     	    -30.79114
45 	 75 	 -300.0     	   1e-30     	    -30.81224
45 	 90 	 -300.0     	   1e-30     	    -30.84573
45 	 105 	 -300.0     	   1e-30     	    -30.8892
45 	 120 	 -300.0     	   1e-30     	    -30.93958
45 	 135 	 -300.0     	   1e-30     	    -30.99338
45 	 150 	 -300.0     	   1e-30     	    -31.04689
45 	 165 	 -300.0     	   1e-30     	    -31.0965
45 	 180 	 -300.0     	   1e-30     	    -31.13891
45 	 195 	 -300.0     	   1e-30     	    -31.17133
45 	 210 	 -300.0     	   1e-30     	    -31.19166
45 	 225 	 -300.0     	   1e-30     	    -31.19858
45 	 240 	 -300.0     	   1e-30     	    -31.19166
45 	 255 	 -300.0     	   1e-30     	    -31.17132
45 	 270 	 -300.0     	   1e-30     	    -31.1389
45 	 285 	 -300.0     	   1e-30     	    -31.09649
45 	 300 	 -300.0     	   1e-30     	    -31.04687
45 	 315 	 -300.0     	   1e-30     	    -30.99336
45 	 330 	 -300.0     	   1e-30     	    -30.93957
45 	 345 	 -300.0     	   1e-30     	    -30.88918
45 	 360 	 -300.0     	   1e-30     	    -30.84571
60 	 0 	 -300.0     	   1e-30     	    -30.86491
60 	 15 	 -300.0     	   1e-30     	    -30.83742
60 	 30 	 -300.0     	   1e-30     	    -30.82013
60 	 45 	 -300.0     	   1e-30     	    -30.81423
60 	 60 	 -300.0     	   1e-30     	    -30.82014
60 	 75 	 -300.0     	   1e-30     	    -30.83743
60 	 90 	 -300.0     	   1e-30     	    -30.86491
60 	 105 	 -300.0     	   1e-30     	    -30.90068
60 	 120 	 -300.0     	   1e-30     	    -30.94225
60 	 135 	 -300.0     	   1e-30     	    -30.98677
60 	 150 	 -300.0     	   1e-30     	    -31.03119
60 	 165 	 -300.0     	   1e-30     	    -31.07249
60 	 180 	 -300.0     	   1e-30     	    -31.1079
60 	 195 	 -300.0     	   1e-30     	    -31.13502
60 	 210 	 -300.0     	   1e-30     	    -31.15205
60 	 225 	 -300.0     	   1e-30     	    -31.15786
60 	 240 	 -300.0     	   1e-30     	    -31.15205
60 	 255 	 -300.0     	   1e-30     	    -31.13502
60 	 270 	 -300.0     	   1e-30     	    -31.10789
60 	 285 	 -300.0     	   1e-30     	    -31.07249
60 	 300 	 -300.0     	   1e-30     	    -31.03117
60 	 315 	 -300.0     	   1e-30     	    -30.98675
60 	 330 	 -300.0     	   1e-30     	    -30.94224
60 	 345 	 -300.0     	   1e-30     	    -30.90067
60 	 360 	 -300.0     	   1e-30     	    -30.86491
75 	 0 	 -300.0     	   1e-30     	    -30.8688
75 	 15 	 -300.0     	   1e-30     	    -30.844
75 	 30 	 -300.0     	   1e-30     	    -30.8284
75 	 45 	 -300.0     	   1e-30     	    -30.82309
75 	 60 	 -300.0     	   1e-30     	    -30.82841
75 	 75 	 -300.0     	   1e-30     	    -30.844
75 	 90 	 -300.0     	   1e-30     	    -30.86881
75 	 105 	 -300.0     	   1e-30     	    -30.90111
75 	 120 	 -300.0     	   1e-30     	    -30.93871
75 	 135 	 -300.0     	   1e-30     	    -30.97904
75 	 150 	 -300.0     	   1e-30     	    -31.01933
75 	 165 	 -300.0     	   1e-30     	    -31.05685
75 	 180 	 -300.0     	   1e-30     	    -31.08905
75 	 195 	 -300.0     	   1e-30     	    -31.11375
75 	 210 	 -300.0     	   1e-30     	    -31.12926
75 	 225 	 -300.0     	   1e-30     	    -31.13456
75 	 240 	 -300.0     	   1e-30     	    -31.12926
75 	 255 	 -300.0     	   1e-30     	    -31.11374
75 	 270 	 -300.0     	   1e-30     	    -31.08905
75 	 285 	 -300.0     	   1e-30     	    -31.05684
75 	 300 	 -300.0     	   1e-30     	    -31.01932
75 	 315 	 -300.0     	   1e-30     	    -30.97903
75 	 330 	 -300.0     	   1e-30     	    -30.9387
75 	 345 	 -300.0     	   1e-30     	    -30.9011
75 	 360 	 -300.0     	   1e-30     	    -30.8688
90 	 0 	 -300.0     	   1e-30     	    -30.86388
90 	 15 	 -300.0     	   1e-30     	    -30.83988
90 	 30 	 -300.0     	   1e-30     	    -30.82479
90 	 45 	 -300.0     	   1e-30     	    -30.81964
90 	 60 	 -300.0     	   1e-30     	    -30.82479
90 	 75 	 -300.0     	   1e-30     	    -30.83988
90 	 90 	 -300.0     	   1e-30     	    -30.86389
90 	 105 	 -300.0     	   1e-30     	    -30.89517
90 	 120 	 -300.0     	   1e-30     	    -30.93161
90 	 135 	 -300.0     	   1e-30     	    -30.9707
90 	 150 	 -300.0     	   1e-30     	    -31.0098
90 	 165 	 -300.0     	   1e-30     	    -31.04623
90 	 180 	 -300.0     	   1e-30     	    -31.07752
90 	 195 	 -300.0     	   1e-30     	    -31.10152
90 	 210 	 -300.0     	   1e-30     	    -31.11661
90 	 225 	 -300.0     	   1e-30     	    -31.12176
90 	 240 	 -300.0     	   1e-30     	    -31.11661
90 	 255 	 -300.0     	   1e-30     	    -31.10152
90 	 270 	 -300.0     	   1e-30     	    -31.07751
90 	 285 	 -300.0     	   1e-30     	    -31.04623
90 	 300 	 -300.0     	   1e-30     	    -31.0098
90 	 315 	 -300.0     	   1e-30     	    -30.9707
90 	 330 	 -300.0     	   1e-30     	    -30.9316
90 	 345 	 -300.0     	   1e-30     	    -30.89517
90 	 360 	 -300.0     	   1e-30     	    -30.86388
105 	 0 	 -300.0     	   1e-30     	    -30.85224
105 	 15 	 -300.0     	   1e-30     	    -30.82753
105 	 30 	 -300.0     	   1e-30     	    -30.812
105 	 45 	 -300.0     	   1e-30     	    -30.8067
105 	 60 	 -300.0     	   1e-30     	    -30.812
105 	 75 	 -300.0     	   1e-30     	    -30.82753
105 	 90 	 -300.0     	   1e-30     	    -30.85224
105 	 105 	 -300.0     	   1e-30     	    -30.88446
105 	 120 	 -300.0     	   1e-30     	    -30.92201
105 	 135 	 -300.0     	   1e-30     	    -30.96233
105 	 150 	 -300.0     	   1e-30     	    -31.00268
105 	 165 	 -300.0     	   1e-30     	    -31.0403
105 	 180 	 -300.0     	   1e-30     	    -31.07263
105 	 195 	 -300.0     	   1e-30     	    -31.09745
105 	 210 	 -300.0     	   1e-30     	    -31.11305
105 	 225 	 -300.0     	   1e-30     	    -31.11838
105 	 240 	 -300.0     	   1e-30     	    -31.11305
105 	 255 	 -300.0     	   1e-30     	    -31.09744
105 	 270 	 -300.0     	   1e-30     	    -31.07263
105 	 285 	 -300.0     	   1e-30     	    -31.0403
105 	 300 	 -300.0     	   1e-30     	    -31.00268
105 	 315 	 -300.0     	   1e-30     	    -30.96233
105 	 330 	 -300.0     	   1e-30     	    -30.922
105 	 345 	 -300.0     	   1e-30     	    -30.88446
105 	 360 	 -300.0     	   1e-30     	    -30.85224
120 	 0 	 -300.0     	   1e-30     	    -30.8332
120 	 15 	 -300.0     	   1e-30     	    -30.80604
120 	 30 	 -300.0     	   1e-30     	    -30.78898
120 	 45 	 -300.0     	   1e-30     	    -30.78317
120 	 60 	 -300.0     	   1e-30     	    -30.78899
120 	 75 	 -300.0     	   1e-30     	    -30.80604
120 	 90 	 -300.0     	   1e-30     	    -30.83321
