Freq. (Hz) 	 V/sqrt(Hz) 
0	0
5.07812e+06	0
1.01562e+07	0
1.52344e+07	0
2.03125e+07	0
2.53906e+07	0
3.04688e+07	0
3.55469e+07	0
4.0625e+07	0
4.57031e+07	0
5.07812e+07	0
5.58594e+07	0
6.09375e+07	0
6.60156e+07	0
7.10938e+07	0
7.61719e+07	0
8.125e+07	0
8.63281e+07	0
9.14062e+07	0
9.64844e+07	0
1.01562e+08	0
1.06641e+08	0
1.11719e+08	0
1.16797e+08	0
1.21875e+08	0
1.26953e+08	0
1.32031e+08	0
1.37109e+08	0
1.42188e+08	0
1.47266e+08	0
1.52344e+08	0
1.57422e+08	0
1.625e+08	0
1.67578e+08	0
1.72656e+08	0
1.77734e+08	0
1.82812e+08	0.0619679
1.87891e+08	0.060137
1.92969e+08	0.0563722
1.98047e+08	0.0521604
2.03125e+08	0.0470461
2.08203e+08	0.0433805
2.13281e+08	0.0442346
2.18359e+08	0.0452061
2.23438e+08	0.0464185
2.28516e+08	0.0518776
2.33594e+08	0.0550821
2.38672e+08	0.0573276
2.4375e+08	0.0586873
2.48828e+08	0.0570609
2.53906e+08	0.0537289
2.58984e+08	0.0494329
2.64062e+08	0.0450817
2.69141e+08	0.0401848
2.74219e+08	0.0341295
2.79297e+08	0.0291757
2.84375e+08	0.0217648
2.89453e+08	0.0146332
2.94531e+08	0.0100604
2.99609e+08	0.00710001
3.04688e+08	0.00365381
3.09766e+08	0.00209347
3.14844e+08	0.00124005
3.19922e+08	0.000797092
3.25e+08	0.000524395
3.30078e+08	0.000357579
3.35156e+08	0.000272532
3.40234e+08	0.000247975
3.45312e+08	0.000216582
3.50391e+08	0.000184355
3.55469e+08	0.000157002
3.60547e+08	0.000141852
3.65625e+08	0.000133385
3.70703e+08	0.000124382
3.75781e+08	0.000117093
3.80859e+08	0.000113885
3.85938e+08	0.000117114
3.91016e+08	0.000120656
3.96094e+08	0.000120843
4.01172e+08	0.000124402
4.0625e+08	0.000123769
4.11328e+08	0.000115477
4.16406e+08	0.000100945
4.21484e+08	9.39267e-05
4.26562e+08	9.29454e-05
4.31641e+08	9.61435e-05
4.36719e+08	0.000103995
4.41797e+08	0.000106039
4.46875e+08	0.000104943
4.51953e+08	0.000102494
4.57031e+08	0.00010201
4.62109e+08	0.000110218
4.67188e+08	0.000115614
4.72266e+08	0.000110533
4.77344e+08	0.000107929
4.82422e+08	0.00011038
4.875e+08	0.000113654
4.92578e+08	0.000109248
4.97656e+08	0.000107632
5.02734e+08	0.000110249
5.07812e+08	0.000115175
5.12891e+08	0.00011666
5.17969e+08	0.000111217
5.23047e+08	0.000107557
5.28125e+08	0.000103239
5.33203e+08	9.66144e-05
5.38281e+08	9.11904e-05
5.43359e+08	8.98829e-05
5.48438e+08	9.30936e-05
5.53516e+08	9.805e-05
5.58594e+08	0.000103758
5.63672e+08	0.000108724
5.6875e+08	0.000108183
5.73828e+08	0.000104104
5.78906e+08	0.000102804
5.83984e+08	0.000107006
5.89062e+08	0.000111473
5.94141e+08	0.000107427
5.99219e+08	0.000104343
6.04297e+08	0.000114995
6.09375e+08	0.000121454
6.14453e+08	0.00012308
6.19531e+08	0.000121258
6.24609e+08	0.000119275
6.29688e+08	0.000122426
6.34766e+08	0.000128989
6.39844e+08	0.000134789
6.44922e+08	0.000135305
6.5e+08	0.000136051
6.55078e+08	0.000140545
6.60156e+08	0.000144891
6.65234e+08	0.000136768
6.70312e+08	0.000131179
6.75391e+08	0.000132321
6.80469e+08	0.000141148
6.85547e+08	0.000144018
6.90625e+08	0.000149142
6.95703e+08	0.000159261
7.00781e+08	0.000165371
7.05859e+08	0.000149827
7.10938e+08	0.000134811
7.16016e+08	0.000140824
7.21094e+08	0.000142061
7.26172e+08	0.000130403
7.3125e+08	0.000116284
7.36328e+08	0.000119089
7.41406e+08	0.000124938
7.46484e+08	0.000121831
7.51562e+08	0.000111147
7.56641e+08	0.000102337
7.61719e+08	0.00010187
7.66797e+08	9.789e-05
7.71875e+08	9.15797e-05
7.76953e+08	9.21592e-05
7.82031e+08	9.03891e-05
7.87109e+08	8.4543e-05
7.92188e+08	7.67513e-05
7.97266e+08	7.4045e-05
8.02344e+08	7.13608e-05
8.07422e+08	6.82058e-05
8.125e+08	6.43594e-05
8.17578e+08	6.34198e-05
8.22656e+08	6.1661e-05
8.27734e+08	5.7712e-05
8.32812e+08	5.20312e-05
8.37891e+08	4.64044e-05
8.42969e+08	4.14911e-05
8.48047e+08	3.62599e-05
8.53125e+08	3.39021e-05
8.58203e+08	3.42009e-05
8.63281e+08	3.63061e-05
8.68359e+08	3.91547e-05
8.73438e+08	3.69038e-05
8.78516e+08	3.38841e-05
8.83594e+08	3.2817e-05
8.88672e+08	3.97461e-05
8.9375e+08	4.06847e-05
8.98828e+08	3.79078e-05
9.03906e+08	3.42146e-05
9.08984e+08	3.67618e-05
9.14062e+08	4.16524e-05
9.19141e+08	4.63074e-05
9.24219e+08	4.76904e-05
9.29297e+08	5.06322e-05
9.34375e+08	5.39293e-05
9.39453e+08	5.3735e-05
9.44531e+08	4.95749e-05
9.49609e+08	4.80022e-05
9.54688e+08	4.6361e-05
9.59766e+08	4.50219e-05
9.64844e+08	4.19866e-05
9.69922e+08	4.19196e-05
9.75e+08	4.2551e-05
9.80078e+08	4.57039e-05
9.85156e+08	4.74947e-05
9.90234e+08	4.95378e-05
9.95312e+08	5.16514e-05
1.00039e+09	4.73565e-05
1.00547e+09	4.89991e-05
1.01055e+09	5.04977e-05
1.01562e+09	5.19324e-05
1.0207e+09	5.14411e-05
1.02578e+09	5.27186e-05
1.03086e+09	5.39226e-05
1.03594e+09	5.49672e-05
1.04102e+09	6.10846e-05
1.04609e+09	6.13496e-05
1.05117e+09	6.13373e-05
1.05625e+09	6.11369e-05
1.06133e+09	5.5662e-05
1.06641e+09	5.5564e-05
1.07148e+09	5.5608e-05
1.07656e+09	5.57091e-05
1.08164e+09	5.55235e-05
1.08672e+09	5.53965e-05
1.0918e+09	5.4904e-05
1.09688e+09	5.3932e-05
1.10195e+09	5.15968e-05
1.10703e+09	4.97767e-05
1.11211e+09	4.76549e-05
1.11719e+09	4.53626e-05
1.12227e+09	4.23238e-05
1.12734e+09	4.00413e-05
1.13242e+09	3.7851e-05
1.1375e+09	3.57906e-05
1.14258e+09	3.33189e-05
1.14766e+09	3.16415e-05
1.15273e+09	3.01886e-05
1.15781e+09	2.89618e-05
1.16289e+09	2.87193e-05
1.16797e+09	2.80136e-05
1.17305e+09	2.75796e-05
1.17812e+09	2.73735e-05
1.1832e+09	2.17201e-05
1.18828e+09	2.17265e-05
1.19336e+09	2.16182e-05
1.19844e+09	2.13415e-05
1.20352e+09	1.85744e-05
1.20859e+09	1.8013e-05
1.21367e+09	1.73856e-05
1.21875e+09	1.67764e-05
1.22383e+09	0
1.22891e+09	0
1.23398e+09	0
1.23906e+09	0
1.24414e+09	0
1.24922e+09	0
1.2543e+09	0
1.25938e+09	0
1.26445e+09	0
1.26953e+09	0
1.27461e+09	0
1.27969e+09	0
1.28477e+09	0
1.28984e+09	0
1.29492e+09	0
Freq. (Hz) 	 V/sqrt(Hz) 
0	0
5.07812e+06	0
1.01562e+07	0
1.52344e+07	0
2.03125e+07	0
2.53906e+07	0
3.04688e+07	0
3.55469e+07	0
4.0625e+07	0
4.57031e+07	0
5.07812e+07	0
5.58594e+07	0
6.09375e+07	0
6.60156e+07	0
7.10938e+07	0
7.61719e+07	0
8.125e+07	0
8.63281e+07	0
9.14062e+07	0
9.64844e+07	0
1.01562e+08	0
1.06641e+08	0
1.11719e+08	0
1.16797e+08	0
1.21875e+08	0
1.26953e+08	0
1.32031e+08	0
1.37109e+08	0
1.42188e+08	0
1.47266e+08	0
1.52344e+08	0
1.57422e+08	0
1.625e+08	0
1.67578e+08	0
1.72656e+08	0
1.77734e+08	0
1.82812e+08	0.00077983
1.87891e+08	0.000739893
1.92969e+08	0.000698523
1.98047e+08	0.000658821
2.03125e+08	0.000601119
2.08203e+08	0.000549428
2.13281e+08	0.000540561
2.18359e+08	0.000518812
2.23438e+08	0.000492236
2.28516e+08	0.000510553
2.33594e+08	0.00051757
2.38672e+08	0.000542194
2.4375e+08	0.000601382
2.48828e+08	0.000688165
2.53906e+08	0.00082555
2.58984e+08	0.00103543
2.64062e+08	0.00135693
2.69141e+08	0.00181485
2.74219e+08	0.00241735
2.79297e+08	0.00343467
2.84375e+08	0.00459819
2.89453e+08	0.00608873
2.94531e+08	0.0090501
2.99609e+08	0.0149056
3.04688e+08	0.0288269
3.09766e+08	0.0382762
3.14844e+08	0.0479891
3.19922e+08	0.0575844
3.25e+08	0.0614608
3.30078e+08	0.0595471
3.35156e+08	0.0580325
3.40234e+08	0.0627815
3.45312e+08	0.0628118
3.50391e+08	0.0607783
3.55469e+08	0.0593941
3.60547e+08	0.0621113
3.65625e+08	0.0676341
3.70703e+08	0.0721425
3.75781e+08	0.0758216
3.80859e+08	0.0797284
3.85938e+08	0.0859258
3.91016e+08	0.0902558
3.96094e+08	0.0899018
4.01172e+08	0.0898466
4.0625e+08	0.0849759
4.11328e+08	0.0740163
4.16406e+08	0.0595694
4.21484e+08	0.050708
4.26562e+08	0.0462231
4.31641e+08	0.0447665
4.36719e+08	0.0464419
4.41797e+08	0.0467219
4.46875e+08	0.0468964
4.51953e+08	0.0481057
4.57031e+08	0.0495549
4.62109e+08	0.0551217
4.67188e+08	0.0592818
4.72266e+08	0.0582654
4.77344e+08	0.0593234
4.82422e+08	0.064539
4.875e+08	0.07158
4.92578e+08	0.0739094
4.97656e+08	0.076724
5.02734e+08	0.0800369
5.07812e+08	0.0817582
5.12891e+08	0.0781941
5.17969e+08	0.0686818
5.23047e+08	0.0605006
5.28125e+08	0.0528855
5.33203e+08	0.0454047
5.38281e+08	0.0397303
5.43359e+08	0.0367828
5.48438e+08	0.036205
5.53516e+08	0.0364621
5.58594e+08	0.0369642
5.63672e+08	0.0370469
5.6875e+08	0.0350083
5.73828e+08	0.0316068
5.78906e+08	0.0290553
